Datetime,Text
2023-01-01 05:05:30+00:00,"Happy New Year! Looking back on this year, I’m proud of the work we’ve done to help preserve our planet for generations to come.

In 2023 → I will continue my work toward saving our planet, uplifting families, and helping to make Delaware a great place to live, work and play! https://t.co/NhaFcOP4S9"
2022-12-30 17:20:47+00:00,I commend the Biden administration for their dedication to developing a WOTUS rule that is based on science and built around consensus. My hope is that this new definition of our nation’s water will prove to be durable.
2022-12-25 14:00:03+00:00,Martha and I are wishing everyone in Delaware and around the globe a very Merry Christmas! May your day be joyful and filled with quality time with those you love🎄☃️🎅🏻
2022-12-23 14:53:50+00:00,"This week, the Senate confirmed six nominees for the @TVAnews Board of Directors.

Why is this so important? It’s going to ensure that our largest federally-owned utility has the leadership needed to deliver cleaner, cheaper, and more efficient energy to 10 million Americans."
2022-12-22 20:37:47+00:00,"I proudly voted for the bipartisan government funding legislation! Several of my bills made it into the final package, including support for:

👧 Youth mental health
📈 Retirement savings
🐾 National wildlife refuges
🚌 Clean school buses

And more ⬇️
https://t.co/mGxP90gRZK"
2022-12-22 01:39:26+00:00,"Since Feb of this year, I have been wearing a pin displaying a Ukrainian and American flag to show support for our ally and friend. Tonight I was honored to attend @ZelenskyyUa's joint address to Congress and applaud his unwavering loyalty to his country and people. https://t.co/zF7eobjSH6"
2022-12-21 21:30:28+00:00,WATCH LIVE: I’m on the Senate floor celebrating passage of the Water Resources Development Act of 2022 (#WRDA2022). https://t.co/HwdVwiRGHB
2022-12-21 16:32:04+00:00,Is anyone else excited to get their mail delivered by one of these? https://t.co/PVIFNHid5W
2022-12-20 22:35:27+00:00,"It's the holiday season and cleaner air is truly the gift that keeps on giving.

It was wonderful joining @EPAMichaelRegan to announce strong, new emissions standards for heavy-duty vehicles. This new rule will help dramatically cut pollution from trucks and buses in our nation. https://t.co/h7kGE45sZM"
2022-12-20 20:06:53+00:00,"Two months ago, @SenToomey and I sent a letter to @USTradeRep urging a closer examination of the impact of a waiver on U.S. innovation. I applaud Amb. Tai’s decision to seek thorough analysis of this important issue."
2022-12-20 19:01:02+00:00,"I am thrilled that @USPS is now committing to electrify 75% of their fleet by 2026. It's much better than the 10% pledge from 2 years ago.

Still, I’m not ready yet to call this job finished. We must keep up the pressure until 💯 of our postal fleet runs on clean energy!"
2022-12-19 22:49:38+00:00,"Presidents are not Kings who get to live above the law. After an 18-month investigation, the bipartisan @January6thCmte has concluded that Donald Trump broke the law when he incited a deadly insurrection on Jan 6. He should be held accountable."
2022-12-19 21:26:49+00:00,"Great to Kick off the Jewish Family Services Mental Health Fellowship Program this morning in Wilmington! @ChrisCoons, @RepLBR, and I worked hard to secure the necessary funding for this fantastic program. I am excited to see all that the fellows accomplish in the next year. https://t.co/YWA64Bm506"
2022-12-19 15:51:32+00:00,"The Festival of Lights has officially begun, and I am wishing a warm holiday season to all those who celebrate Hanukkah in the First State and around the globe! Chag Sameach🕎🕯"
2022-12-16 22:04:32+00:00,I was delighted to be at the Beau Biden National Guard Center today with @POTUS and @SecVetAffairs to speak with vets about health benefits available to them and their families from the PACT Act. Learn more by going to https://t.co/p8lFqCeTsB! https://t.co/UTzSj30kdT
2022-12-16 17:20:08+00:00,Tune in now as I give remarks at our PACT Act event👇
2022-12-16 14:11:31+00:00,"REMINDER: Today from 11-3 veterans across the First State are invited to join me, @POTUS, and @SecVetAffairs at the Beau Biden National Guard Center for information about how you and your family can sign-up for VA health care benefits. https://t.co/g3TEiy71cU"
2022-12-14 19:29:36+00:00,"This Friday, I am joining @POTUS and @SecVetAffairs to get the word out about the care and benefits now available for Veterans thanks to the PACT Act. I highly encourage my fellow Vets to check out what benefits are now available to you! https://t.co/EolG4Yniq0"
2022-12-14 16:28:32+00:00,"10 years ago, 20 innocent children and 6 teachers died from gun violence at their beloved school—Sandy Hook Elementary. This event of unimaginable horror serves as a reminder that we must do more to enact commonsense gun reforms in our country.
#EndGunViolence https://t.co/lAbaGnozHC"
2022-12-13 22:51:48+00:00,"Happy Birthday @USNationalGuard 🎉
Today we celebrate every member of the National Guard, and their families, for their service. I especially want to thank the @DelawareNG, who I was privileged to oversee as Commander-in-Chief when I served as Delaware's Governor. Bravo Zulu!"
2022-12-13 21:20:12+00:00,BREAKING: @POTUS just signed the #RespectforMarriageAct into law. I proudly voted YES on this legislation to make marriage equality the law of the land! #LoveWins 🏳️‍🌈🌈 https://t.co/wYksKNIPu4
2022-12-12 23:56:08+00:00,"By a bipartisan vote of 53-35, the US Senate just confirmed Delaware’s Tamika Montgomery-Reeves to be a Circuit Judge on the U.S. Third Circuit Court of Appeals. Congratulations Judge Montgomery-Reeves!"
2022-12-12 21:25:57+00:00,".@POTUS is right on the money! The clean energy future should be built by American workers. Thanks to the Inflation Reduction Act, it's going to be."
2022-12-09 18:57:51+00:00,It was such a pleasure to visit the students and educators at Linden Hill Elementary and congratulate them on their Blue Ribbon School designation! Keep up the great work! https://t.co/yZjbwBMeEg
2022-12-09 17:11:55+00:00,"I had a great discussion with @Hologic at the site of their upcoming Innovation Center for breast and skeletal health in Newark! It's critical that increased amounts of semiconductor chips from the CHIPS and Science Act, a bill I supported, go toward the medical tech industry. https://t.co/RoEiX3bquG"
2022-12-08 19:13:24+00:00,"The Water Resources Development Act of 2022 is coming to the Senate!

#WRDA2022 will meaningfully invest in our nation's water resources and better position @USACEHQ to meet the needs of communities throughout our nation. I look forward to getting this across the finish line."
2022-12-08 16:52:12+00:00,"What wonderful news! After months of wrongful detainment, Brittney Griner is finally on her way home to be with her wife Cherelle and her entire family. Thank you to @POTUS and @SecBlinken for their work to secure Brittney’s release."
2022-12-07 22:50:32+00:00,"GREAT NEWS! The Big Cat Public Safety Act is heading to President Biden's desk for signature.

This bipartisan bill is going to end private ownership of lions, tigers, and other big cats in our nation. That's good for the welfare of these animals and good for public safety. 🐯🙌"
2022-12-07 21:03:25+00:00,"After 40 years, @Jim_Gardner is soon signing off the air one last time. Jim earned the respect and trust of millions of viewers who invited him into their home each night. Delaware Valley is a better place because of him. I'm glad @ChrisCoons and I could honor him in the Senate. https://t.co/ySDsfDNFIK"
