Datetime,Text
2022-12-30 14:06:34+00:00,The Electoral Count Reform Act is now law!  This legislation @Sen_JoeManchin and I led fixes the flaws of the archaic and ambiguous 1887 law and establishes clear guidelines for our system of certifying and counting electoral votes for President and Vice President.
2022-12-21 19:51:22+00:00,"Congress is on the verge of passing historic legislation. The Electoral Count Reform Act—which I led with @Sen_JoeManchin
—is the result of a nearly year-long effort that included numerous meetings among Senators as well as conversations with election experts and legal scholars. https://t.co/D51J58QcPX"
2022-12-20 18:41:31+00:00,"The provision that the Maine Delegation and Governor Mills advocated for, which relies upon the expertise of @MaineDMR professionals, pauses new regulations, allowing the fishery to continue to operate while we push for a permanent solution. 

https://t.co/kAwl0WCJPx"
2022-12-20 18:41:30+00:00,"A lifeline for Maine’s lobstermen and women was included in the government funding package released this morning.  Although there has never been a right whale death attributed to Maine lobster gear, NOAA has been preparing actions that could end lobstering in Maine."
2022-12-18 22:00:31+00:00,"Happy Hanukkah!🕎As families and friends gather together during this joyous Festival of Lights, Tom and I wish peace and blessings to those celebrating in Maine and around the world."
2022-12-13 22:10:18+00:00,"The Respect for Marriage Act is now law! This historic legislation provides certainty to millions of loving couples in same-sex marriages. I was proud to partner with @SenatorBaldwin on this effort to prevent discrimination, promote equality, and protect religious liberties. https://t.co/NmJBxXdP15"
2022-12-12 14:22:37+00:00,"My deepest sympathies are with the families of the students who died in Castine this weekend.  This is a devastating loss for the close-knit Maine Maritime Academy community.  

https://t.co/KM2hhfpSRS"
2022-12-09 21:26:47+00:00,Bangor's new Transit Center will make it easier than ever to navigate public transportation in the region.  It was a pleasure to join the community in celebrating this milestone achievement to improve accessibility and facilities for riders and drivers. https://t.co/q61ZWbv6yb
2022-12-01 00:22:14+00:00,"Delicious, sustainable Maine lobster is an excellent choice for the main course for the president’s first State Dinner. If Maine lobster is good enough for the White House to serve, it’s good enough for every seafood retailer—including Whole Foods—to sell. https://t.co/VV8pUqZPOo"
2022-11-29 23:39:44+00:00,"Tonight, the Senate took a historic step to help prevent discrimination, promote equality and protect the rights of all Americans by passing the Respect for Marriage Act that @SenatorBaldwin and I authored.  Our bill would help ensure everyone is treated with respect and dignity."
2022-11-23 15:23:37+00:00,The dedicated volunteers and staff at Aroostook Agency on Aging help Northern Maine seniors live healthier lives and stay involved in their communities. Federal funding for which I am advocating would support their efforts to expand their programs and reach hundreds more seniors. https://t.co/Cf5eSWIMz6
2022-11-22 18:55:08+00:00,Congratulations to UMaine on constructing the world’s first 3D-printed house using entirely bio-based materials! This prototype could help alleviate the shortage of affordable housing and provide a boost for our forest products industry. https://t.co/osrsit7clP
2022-11-18 22:42:33+00:00,"In Waterville today, we celebrated the completion of a transformational project to continue the revitalization of downtown, create jobs, and bring the community together.  I was delighted to secure funding to help move this remarkable project forward.

https://t.co/E9bEZ8binv https://t.co/yeLXIg3XIl"
2022-11-16 23:36:55+00:00,"Providing this security for families is the right thing to do, and I will continue to push for our bill to pass Congress so that it can be signed into law."
2022-11-16 23:36:55+00:00,"Tonight, the Senate advanced important legislation that will protect Americans in same-sex and interracial marriages. I was proud to join @SenatorBaldwin in leading this bill to remove the cloud of uncertainty for couples and help prevent discrimination."
2022-11-11 21:55:31+00:00,"At the Northern Maine Veterans Cemetery today, we honored the brave men and women who have served our nation in uniform and defended our freedom.  They have earned our deepest gratitude, not just on this Veterans Day, but every day. https://t.co/PHylCgGAFI"
