Datetime,Text
2023-01-02 14:43:44+00:00,Dr. Anthony Fauci gave a lifetime of service to the cause of saving and improving lives. His retirement from NIH marks the departure of a caring public servant and a friend. America owes Dr. Fauci thanks for his amazing legacy.
2023-01-01 20:18:51+00:00,Wishing a Happy New Year to all. May your 2023 be filled with peace and prosperity. https://t.co/zAQ3LUuEtd
2023-01-01 01:27:38+00:00,"In 2022 I remember the bravery in Ukraine; the tragedy in Highland Park &amp; communities across America; the courage of #Dreamers; the inspiration of ALS leaders @bsw5020 &amp; @sabrevaya; the strength of Justice Jackson; and the blessings of family.
May we strive to make 2023 better."
2022-12-26 19:21:38+00:00,Habari Gani! Wishing all those that celebrate a bright and meaningful Kwanzaa.
2022-12-25 15:13:16+00:00,Merry Christmas! May your time with your loved ones be filled with warmth and happiness. https://t.co/5U6S2UCZg0
2022-12-23 16:57:19+00:00,"Today’s @FTC announcement shows that Mastercard has been stifling debit card competition to the detriment of merchants and consumers. We must be vigilant in protecting debit and credit card competition, and we will."
2022-12-23 14:58:59+00:00,"By passing this vital legislation, we are sending a clear message to Vladimir Putin: perpetrators committing unspeakable war crimes, such as those unfolding before our very eyes in Ukraine, will be held to account."
2022-12-23 01:28:33+00:00,The federal funding I secured for the Chicago HEAL Initiative will help expand hospital projects that address the root causes of gun violence &amp; offer support to Chicago neighborhoods dealing with the heavy weight of gun violence and health disparities. https://t.co/6dcE7Lqc1I
2022-12-23 00:42:32+00:00,"Extremely proud of what @JudiciaryDems accomplished over the past 2 years. Equally as important as the numbers, we saw diverse nominees confirmed—in both their professional &amp; demographic background. 
We are bringing balance to the courts, with more to come in the next two years."
2022-12-22 23:05:26+00:00,"With the high costs of tuition, many students can't afford to purchase the expensive textbooks required for classes. Increased funding for the Open Textbook Program will provide relief for many students. Proud to have secured $12M for this program in the government funding bill."
2022-12-22 22:47:07+00:00,"This omnibus package makes significant investments in the future of Illinois. It will help localities in IL launch infrastructure projects, improve access to health care, advance environmental conservation, strengthen community violence prevention initiatives, and much more. https://t.co/54C66QYGnW"
2022-12-22 20:29:17+00:00,"The omnibus package is a testament to the progress we made in the last year. It includes funding for Ukraine, emergency disaster assistance, &amp; the bipartisan Electoral Count Reform Act. I encourage the House to pass it quickly &amp; look forward to @POTUS signing it into law."
2022-12-22 20:14:16+00:00,".@SenBillCassidy, @janschakowsky, and @RepGusBilirakis were excellent partners in championing this bill, and I thank them for their efforts to see it through."
2022-12-22 20:14:16+00:00,The INFORM Consumers Act will increase transparency in online marketplaces and make it harder for criminals to sell counterfeit and stolen products to unsuspecting consumers. I'm glad this important bipartisan legislation has passed the Senate &amp; is on its way to becoming law!
2022-12-22 19:49:33+00:00,"My bill, named in memory of visionary leader Dr. Joanne Smith, supports top rehab hospitals, like Chicago’s @AbilityLab, focused on innovative research &amp; treatments for patients with complex health conditions. I’m thrilled it passed the House &amp; now heads to @POTUS’s desk."
2022-12-22 02:11:20+00:00,"Honored to meet with you tonight, Mr. President. We will continue to stand with you and the fearless Ukrainian people. #SlavaUkraini https://t.co/9PsylZhR9q"
2022-12-21 23:42:18+00:00,"Four years ago, passing the First Step Act—the most important criminal justice reform legislation in a generation—was a Christmas miracle. We have come a long way, but we must continue to work to ensure that the goals of the FSA are fully met. https://t.co/AKcUkCR553"
