Datetime,Text
2023-01-01 15:43:00+00:00,"Looking forward to a wonderful and prosperous 2023 for all Nebraskans. Happy New Year, everyone! https://t.co/dytHF5EDKF"
2022-12-30 03:16:38+00:00,Congrats @HuskerHoops! Big win in front of a sold-out crowd. #GBR
2022-12-25 16:47:30+00:00,Merry Christmas! https://t.co/IpASz9hbEV
2022-12-24 17:30:00+00:00,"This holiday season, may your life be filled with joy and love. From my family to yours, have a very Merry Christmas! https://t.co/jTPC66oH1v"
2022-12-22 19:30:14+00:00,"Today I voted against an 11th hour, $1.7 trillion, 4,000+ page package stuffed with special interest provisions.

My full statement below: https://t.co/rcjlgS0r7U"
2022-12-21 15:12:00+00:00,"Make no mistake – Pres. Biden's lenient immigration policies have directly undermined the security of our southern border. If Title 42 ends, this preventable crisis will spiral further out of control."
2022-12-20 23:17:43+00:00,"Thank you, Chancellor Green, for your years of service. UNL continues to be an excellent university thanks to your leadership, and I wish you and Jane the best in retirement."
2022-12-20 21:14:00+00:00,"We owe so much to those who have served and sacrificed in defense of our freedom. Heartwarming to see the U.S. Honor Flag presented this weekend at Fort McPherson to honor our fallen heroes.
https://t.co/rgkiK1XHbe"
2022-12-20 20:22:30+00:00,"Barring last-minute action by SCOTUS, Title 42 could end this week.
 
Pres. Biden still has no plan to handle the expected surge of up to 14,000 illegal border crossings a day.
 
This is a recipe for disaster."
2022-12-18 22:05:44+00:00,Wishing a happy Hanukkah to all who celebrate! https://t.co/T2USXAye5Y
2022-12-17 22:05:40+00:00,An honor to speak at this morning’s @UNLincoln commencement ceremony. Best of luck to these new graduates. Your futures are bright. #GBR https://t.co/zSU0zAX15m
2022-12-16 17:09:23+00:00,"This bill demonstrates there is still bipartisan support for providing our military with the resources it needs to keep the American people safe.
https://t.co/nZ03YFjStm"
