Datetime,Text
2023-01-01 17:30:21+00:00,"“The steadfast love of the Lord never ceases, His mercies never come to an end; they are new every morning; great is Your faithfulness.”

Lamentations 3:22-23"
2023-01-01 16:18:57+00:00,"From my family to yours, #HappyNewYear! May this new year bring joy &amp; many blessings to you and your loved ones. https://t.co/WfJo8NPwbc"
2022-12-31 20:17:48+00:00,"On behalf of myself, Chrissy, &amp; our whole family, we wish you a blessed #NewYearsEve! To those in Tennessee and around the world, we hope you have a great day celebrating with friends &amp; family. https://t.co/0BxK8e7h6B"
2022-12-30 22:59:42+00:00,The Biden Admin's disastrous &amp; full-fledged war on US energy production has led to record-high energy prices &amp; energy dependence. Our country should not have to beg foreign adversaries for oil when we have reliable &amp; affordable domestic energy here at home.
2022-12-30 21:53:20+00:00,"When I visited our southern border this year, I saw the dangerous dysfunction of the Biden Admin’s wide-open border policies. ‘Border Czar’ VP Harris can spin the truth, but Americans know that the #BidenBorderCrisis is real because numbers don't lie."
2022-12-30 21:22:15+00:00,"President Biden’s dismantling of our southern border has endangered American lives everywhere. The #BidenBorderCrisis has given criminals, cartels, &amp; terrorists the green light to come into our country, exploit our border, &amp; wreak havoc on our communities."
2022-12-30 20:11:35+00:00,"Dems’ blocked the passing of my legislation, “Stop Fentanyl Border Crossings Act,” three times in the Senate. How many overdose deaths must the American people endure before the President &amp; Congressional Dems take action to secure our border &amp; protect the lives of U.S. citizens?"
2022-12-30 19:42:48+00:00,Congratulations to @IsraeliPM @netanyahu as he begins his sixth term as Prime Minister. I look forward to working closely with him &amp; his government to further strengthen the U.S.-Israel Alliance. https://t.co/pUlu7MlFCt
2022-12-30 18:24:11+00:00,"Instead of unleashing American energy &amp; regaining Trump-era energy independence, Dems' are caving to the woke mob by pushing radical &amp; far-left green energy fantasies such as the Green New Deal through Congress. As a repercussion, Americans are paying record-breaking prices."
2022-12-29 23:35:14+00:00,Biden &amp; Dems’ disastrous energy surrender has allowed foreign energy dominance &amp; has placed a severe burden on the shoulders of American citizens who are trying to pay skyrocketing energy bills &amp; heat their homes this winter.
2022-12-29 22:04:28+00:00,The Biden Administration &amp; Congress need to restore pro-growth &amp; pro-innovation policies to invest in our country and end our dependence on the CCP.
2022-12-29 21:03:19+00:00,"Americans are facing through-the-roof food costs &amp; declining wages that can’t keep up with inflation. Since Biden took office nearly two years ago, more and more hardworking families &amp; individuals have struggled to make ends meet. https://t.co/UkWBL7I3TM"
2022-12-29 19:38:57+00:00,"The partnership between multi-billion-dollar Mexican cartels &amp; the Chinese Communist Party is fueling the deadly fentanyl crisis in our country. These lethal drugs are being pipelined into our country–mostly through our wide-open southern border.
https://t.co/2LYuzumHZ3"
2022-12-29 18:42:45+00:00,"The Biden Administration has no plan to stop the unfolding &amp; ongoing catastrophe at America's southern border. Their open borders radicalism is putting lives on both sides of the border at risk &amp; they don't care.

Border security is national security. https://t.co/xLvtTUuqiM"
2022-12-29 17:38:05+00:00,"The stonewalling needs to end. The American people deserve to know the truth about Hunter's multi-million-dollar foreign business dealings &amp; the extent to which Joe Biden was involved or benefitted from them. 
https://t.co/67M6hronnY"
2022-12-29 00:32:59+00:00,The reckless tax-and-spending &amp; fiscal insanity coming from @WhiteHouse &amp; the left has been driving up the cost of nearly everything from the gas pump to the grocery store; hardworking American families &amp; small business owners can’t catch a break in Biden’s economy.
2022-12-28 23:54:15+00:00,Joe Biden’s wide-open border policies have turned every town into a border town. Americans are sick &amp; tired of waiting for this Administration to acknowledge &amp; resolve the self-inflicted #BidenBorderCrisis that is endangering our communities &amp; flooding the US with more fentanyl.
2022-12-28 22:43:09+00:00,"Stripping America’s already collapsed southern border of T42 would have been a grave mistake. Glad to see @SCOTUS temporarily uphold this policy, but we need the President &amp; Congress to act to secure our border with legislation like my Stop Fentanyl Border Crossings Act."
2022-12-28 22:09:11+00:00,Biden &amp; ‘Border Czar’ Harris have yet to come up with a viable alternative to border security other than leaving our country wide-open &amp; vulnerable for multi-billion dollar cartels &amp; drug and human traffickers to commandeer our southern border.
2022-12-28 21:21:46+00:00,Biden &amp; Congressional Dems have successfully created the worst border crisis in American history. https://t.co/LX0BjKLdW5
2022-12-28 21:11:11+00:00,"When the media finally starts to report about the border, Dems use code phrases to hide their true intentions. But watch what they do. For two years, they’ve systematically surrendered border security tools &amp; blocked border security measures that don’t include amnesty."
2022-12-28 21:11:10+00:00,"We do need reform to stop the record-shattering border crisis, but Dems should call their version of immigration reform what it is: mass amnesty. Biden should be asked whether he would support “immigration reform” that doesn’t include legalization."
2022-12-28 21:11:09+00:00,"When they say “we need comprehensive immigration reform,” they mean “instead of stopping illegal immigration, let’s simply make it legal”—giving amnesty, citizenship, voting rights &amp; public benefits to those who have entered our country illegally."
2022-12-28 21:11:08+00:00,"When they say “manage the border,” they mean “let as many people into our country and resettle them in places like Tennessee as quickly and efficiently as possible.”"
2022-12-28 21:11:07+00:00,Watch Dems’ words carefully when they talk about the border.  They mix in code phrases intended to fool you into believing they are securing the border like a serious administration would.🧵
2022-12-28 04:15:30+00:00,"Dems’ can say they've increased funding for CBP, but pg. 753 of the 4,000 pg. Omnibus bill says those close to $2B funds are used to accelerate the processing of people into our country &amp; cannot be used to protect the border, secure the border, or any sort of law enforcement. https://t.co/IQv8086tEb"
2022-12-28 03:52:33+00:00,"Drug overdose is the number one killer of young Americans between the age of 18 and 45—most from fentanyl coming across our southern border. The extension of Title 42 would’ve passed with bipartisan support, but Schumer shut it down because it would’ve offended the radical left. https://t.co/v3H7N2ZG9G"
2022-12-27 20:22:02+00:00,OVER 5 MILLION illegal immigrants have crossed the border since @JoeBiden &amp; 'Border Czar' @VP took office. Mexican cartels are making $13 BILLION/yr smuggling people into the U.S. The #BidenBorderCrisis is real.
2022-12-27 19:14:04+00:00,"In November, CBP encountered more than 233,740 illegal crossings at our southern border.

America's record-breaking border crisis is a direct repercussion of our President's wide-open, radical, &amp; disastrous border policies."
2022-12-27 18:17:26+00:00,"Senate Republicans have been saying this for nearly two years. The #BidenBorderCrisis is a humanitarian crisis. Lives on both sides of the border are at stake. President Biden cannot turn a blind eye to this self-inflicted catastrophe any longer.
https://t.co/y0qGndmMl2"
2022-12-26 16:00:30+00:00,#HappyKwanzaa to those celebrating in Tennessee and around the world! https://t.co/uyIEJNG4eh
2022-12-25 15:50:00+00:00,"""For to us a child is born, to us a son is given; and the government shall be upon his shoulder, and his name shall be called Wonderful Counselor, Mighty God, Everlasting Father, Prince of Peace."" — Isaiah 6:9

On behalf of myself, Chrissy, &amp; our family, Merry Christmas! https://t.co/AqkXBLNwHz"
2022-12-25 13:31:00+00:00,"“Glory to God in the highest, and on earth peace, good will toward men.” 

Luke 2:14"
2022-12-24 17:00:02+00:00,"From my family to yours, Merry Christmas Eve!
We wish you a blessed day as we celebrate the birth of our Savior. https://t.co/d6wtOLitqp"
2022-12-23 22:46:00+00:00,"President Biden &amp; Dems’ unraveling of successful Trump-era border security policies has allowed criminals, traffickers, &amp; multi-billion dollar cartels to run America’s immigration system to the ground."
2022-12-23 21:30:00+00:00,If you look at the fine lines of the Omnibus bill—on page 753—it says that funds can’t be used for border security but for ‘border protection’. These funds can only be used to accelerate the processing of people across the border &amp; transporting people deep into the U.S. https://t.co/OKgYDwHQ8F
2022-12-23 21:00:00+00:00,"Biden’s open border policies have emboldened Mexican cartels and drug smugglers, &amp; the DEA seized enough fentanyl to kill every American this year–we have to get our border under control now!"
2022-12-23 20:30:00+00:00,"Disappointingly, the Omnibus bill does not address this 1099-K problem for people that use Venmo &amp; PayPal for small transactions north of $600. This is going to put a massive burden on small businesses and the American public. https://t.co/EBAWZf9Ilj"
2022-12-23 20:00:02+00:00,America’s southern border is not under operational control. CBP is facing a national security &amp; humanitarian catastrophe beyond epic proportions. This already-record-breaking crisis will become far worse if the President continues to ignore this self-inflicted disaster.
2022-12-23 19:16:33+00:00,"Hagerty: ‘You’re describing the Washington Kabuki Theater, &amp; that’s exactly what happened last night.’
https://t.co/rOj84Nnbp8"
2022-12-23 19:00:01+00:00,"Tennesseans, please stay vigilant, be prepared, and be mindful of the severe winter weather happening across Tennessee &amp; around the U.S. as you travel this holiday season."
2022-12-23 18:40:10+00:00,Dems’ funding for so-called border protection in the Omnibus funding bill is not actually helping our southern border. The U.S. needs a secure border to keep our nation safe.
2022-12-22 21:32:38+00:00,The #BidenBorderCrisis has become a massive catastrophe. Ending Title 42 would be disastrous &amp; foolish. Lives on both sides of the border are at stake. We must #SecuretheBorder now!
2022-12-22 20:58:18+00:00,"America is going to see a tidal wave of 7,000 illegal crossings per day become a tsunami with more like 15-16,000 crossings PER DAY. CBP will be overwhelmed entirely &amp; President Biden will be giving drug smugglers &amp; human traffickers free reign over our southern border."
