Datetime,Text
2023-01-01 18:49:14+00:00,"Let’s make this year a great one. 

Happy New Year’s, New Hampshire!"
2022-12-31 22:49:40+00:00,Happy New Year’s Eve. Cheers to a prosperous 2023! 🥂
2022-12-30 20:49:06+00:00,"NOW LAW: Quantum computing continues to develop quickly. We need to make sure that our adversaries can’t weaponize this technology to breach our data systems.

My bill to proactively address cyber challenges posed by quantum was signed into law."
2022-12-30 17:42:37+00:00,"I had the honor of presiding over the Senate floor when we passed our bipartisan PACT Act, providing many veterans exposed to toxic substances with long-deserved health care and benefits.

It was a highlight of a year filled with bipartisan success. https://t.co/W69lvt22wn"
2022-12-29 21:24:17+00:00,"Harry Armstrong of Canaan &amp; John Bayliss of Hanover lead a successful effort to collect used medical equipment and deliver it to those in need in the Upper Valley and beyond.

Their generosity touches people’s lives. I’m honored to name them Granite Staters of the Month. https://t.co/yYwhox4VOO"
2022-12-28 16:59:04+00:00,"The President signed our annual defense bill into law, including my provisions to crack down on drug trafficking, further hold Putin accountable, bolster our cybersecurity, and more.

Keeping our country safe, secure, and free is my top priority."
2022-12-27 22:30:59+00:00,"Saddened to hear of John Harrigan’s passing. He was a passionate and talented writer and mentor for so many. His love for the North Country, its people, and our communities made our state stronger.

He’ll be greatly missed."
2022-12-27 15:29:58+00:00,Proud of what we accomplished together this year. https://t.co/lTR2jMI2gZ
2022-12-26 20:58:01+00:00,Wishing you peace and time with loved ones this Kwanzaa.
2022-12-25 14:08:09+00:00,Merry Christmas! 🎄
2022-12-25 00:30:34+00:00,A beautiful scene in Exeter. Merry Christmas to all! ❤️ https://t.co/RphJoxMxrl
2022-12-24 22:10:10+00:00,"From our family to yours, we wish you a merry and joyful Christmas Eve."
2022-12-23 17:56:27+00:00,Chip sure is a hot commodity. 🎄 https://t.co/WFPTGVUUWw
2022-12-23 15:51:44+00:00,"2022: a year of progress and bipartisan wins for our state and our country.

Let’s break it down. https://t.co/lTR2jMZD8x"
2022-12-22 20:48:49+00:00,"This year’s government funding bill includes major Granite State priorities that will: 
🔹Lower costs for families
🔹Strengthen our response to the opioid epidemic
🔹Help Americans save for retirement

It is a bill that makes critical investments for the American people."
2022-12-22 14:29:35+00:00,"Our kids deserve every opportunity to grow and thrive, but some face long-term challenges from undetected hearing problems.

My bipartisan bill to identify hearing challenges earlier was signed into law. 
https://t.co/6A3fW1qNTO"
2022-12-22 01:20:11+00:00,"It was an incredible honor to hear directly from President Zelenskyy tonight. His words are a powerful reminder of the continued resilience &amp; bravery of the Ukrainian people.

America’s support at this critical stage shows that democracy is always worth fighting for."
2022-12-21 21:36:56+00:00,"NOW LAW: My bill to help protect fire fighters from dangerous forever chemicals was signed by the President.

Fire fighters put themselves in harm’s way every day to keep us safe. Their service shouldn’t include worries about PFAS exposure.
https://t.co/X9YchutQrT"
2022-12-20 17:15:47+00:00,"Congratulations to my dear friend, distinguished colleague, and fellow New Englander @SenatorLeahy.
Your work for New Englanders - and mentorship to so many - will live on for decades to come."
2022-12-20 16:09:09+00:00,"BREAKING: The end-of-year omnibus bill text includes major provisions to help address the opioid epidemic, including my bipartisan measures to:

•Expand access to medication-assisted treatment
•Help fill the shortage of doctors trained in addiction medicine"
2022-12-18 21:24:09+00:00,Happy Hanukkah! Wishing all who celebrate a joyful festival of lights.
2022-12-17 19:09:39+00:00,"Couldn’t agree more, @RepChrisPappas. New Hampshire’s maple syrup is the best."
2022-12-17 17:25:43+00:00,Keep your loved ones safe. Remember to get your flu shot and COVID booster before the holidays! 💉
2022-12-16 20:08:59+00:00,"Judy Reardon was a determined, treasured friend and advisor who insisted that those of us in public life act with integrity and purpose.

Tom and I send our deepest condolences to her sister Patty, her brother-in-law Rik, and to the many friends that she leaves behind. https://t.co/HK0lRf6rVT"
2022-12-16 19:03:20+00:00,"1-888-373-7888.
 
That phone number - that lifeline - should be displayed on every bus, train, and plane to help save human trafficking victims.
 
And my bill to make it happen passed Congress and is on the way to the President’s desk."
2022-12-16 16:39:20+00:00,"Loved celebrating love this week with my good friend (and who I've been told is a fellow Senate Bob Caucus member), @SenCortezMasto. 🏳️‍🌈 https://t.co/gS3Gg8WV5r"
2022-12-16 15:23:13+00:00,"Video game platforms can be a cesspool for extremism – and I’m calling for immediate action.

Valve cannot continue to let hateful ideologies flourish online. It is harmful to users of all ages and can lead to very real threats of physical violence. https://t.co/B1DTQx9TZv"
2022-12-16 01:31:14+00:00,"My top priority is keeping our country safe, secure, and free.

Our annual defense bill is in service to that mission.

It includes my provisions to crack down on drug traffickers, further sanction Russia, strengthen cybersecurity, and more."
