Datetime,Text
2023-01-01 15:18:30+00:00,Blessed to be serving the people of Oklahoma for another year. https://t.co/1UCcO8LT4t
2022-12-30 22:16:00+00:00,"The core values of life, liberty, and family are part of what sets us apart as the greatest nation in the world. Check out how my team and I have protected these values over the last year. #2022Wrapped    
https://t.co/8FZNw8Y4Y7"
2022-12-29 22:08:30+00:00,Every family wants to live in a safe community and secure nation. Check out my work to make this American Dream a reality. #2022Wrapped     https://t.co/YDGvaPqX2A
2022-12-28 23:03:00+00:00,"Our seniors needed a few wins this year, let’s wrap up some of the victories my team and I achieved for Oklahoma senior adults. #2022Wrapped 
https://t.co/1Oal6pi17s"
2022-12-27 22:11:49+00:00,SCOTUS just gave DHS more time to finally address the chaos at the border &amp; to prepare with a real plan for Title 42 to end.
2022-12-27 17:59:30+00:00,Want to know more about my work to support the service members and their families? Tune in ⬇️ #2022Wrapped https://t.co/nGsS3AqtKa
2022-12-26 17:55:30+00:00,"As 2022 comes to a close, let’s wrap up some of my major wins for Oklahomans #2022Wrapped
https://t.co/CDv7XYcwI7"
2022-12-25 22:36:00+00:00,Cindy and I wish you peace on Earth and a very merry Christmas! https://t.co/V42XY5pNiH
2022-12-25 15:03:30+00:00,"From my family to yours, Merry Christmas! https://t.co/4iIvLRH2Kl"
2022-12-24 23:48:30+00:00,"This Christmas season, I invite you to join me in prayer.
https://t.co/jtrXkDvRld"
2022-12-23 17:20:37+00:00,Today we finally have victory to protect religious freedoms servicemen &amp; women who’s request were falling on deaf ears. Now our heroes are getting the correct process they should have had from the very beginning to live their faith and be able to serve our country.
2022-12-22 19:18:37+00:00,Americans deserve and expect a functioning government that lives within our means. I will keep pushing to solve this broken budget process and bring more people to the table to get this fixed.
2022-12-22 19:18:36+00:00,"My office had only hours to review a 4,155-page, almost $2 trillion bill to fund the government. This is no way to run the greatest nation in the world, especially since the bill includes record-high deficit spending."
2022-12-22 19:18:36+00:00,"When do Americans get to see in advance how Congress will spend their money? Once again, Washington, DC treats Oklahomans’ tax dollars and the future of our economy like fake Monopoly money."
2022-12-22 18:45:41+00:00,Oklahoma has lost a giant with the passing of Gary Ridley. He served Oklahomans with humility and wisdom. He was a true role model and innovator.
2022-12-22 17:02:52+00:00,Words in bills matter—our nation has always protected religious accommodations. My amendment would simply clarify that religious employers are not asked to violate their sincerely held religious beliefs.
2022-12-22 16:43:40+00:00,"It's simple - when you incentivize illegal activity, you'll get more of it. #SecuretheBorder #Title42"
2022-12-22 16:10:29+00:00,"When our country is $31 trillion in debt, we should be focused on paying down that debt. Not asking Americans to foot the bill for special projects in a state they don’t live in. I supported @SenRonJohnson's amendment to strike all earmarks from the almost $2 T spending bill."
2022-12-22 15:53:39+00:00,"If there’s an increase in spending, then Congress needs to have the $$ to pay for it. The omnibus overspends, adds to our national debt, and makes government bigger. I supported @RandPaul’s amendment to force Congress to pay for this almost $2 trillion spending bill."
2022-12-22 14:59:28+00:00,America must condemn these actions from the Iranian government &amp; continue to stand with the people of Iran as they fight for their freedom!
2022-12-22 00:59:16+00:00,"Our southern border is a full-on crisis and for whatever reason this Administration chooses not to care. Today, I gave my Democrat colleagues in the Senate a simple, non-controversial way to fix this crisis—they objected. https://t.co/8dvgCZTb77"
2022-12-21 22:20:57+00:00,"Today on the floor, I am calling on my Democrat colleagues to vote on my solutions to actually secure the border. This isn’t about politics – this is about the security of our nation."
2022-12-21 18:34:04+00:00,JUST NOW🚨 I announced I am calling for the Senate to vote on two of my bills today— extending Title 42 &amp; fixing our broken asylum process. https://t.co/PD77YSjZh1
2022-12-20 23:27:41+00:00,"No one has read all of the massive 4,155-page, $1.85 trillion spending bill – including Democrats. https://t.co/qqYfpIHucW"
2022-12-20 14:56:43+00:00,DHS has refused to give me a straight answer on their plan when Title 42 ends. We know why – they want a wide-open border.
