Datetime,Text
2022-12-22 20:55:04+00:00,"Dear Friends, thank you for following my official Twitter page over these years. I have enjoyed using new channels of communication to keep in touch with Vermonters. Now that I am leaving the Senate, this account will no longer be active. Best wishes always. –Patrick and Marcelle https://t.co/Bm12luq1Bn"
2022-12-22 20:30:12+00:00,Leahy Statement On Final Passage of the Fiscal Year 2023 Omnibus Appropriations Bill https://t.co/wCgkuDkkkk
2022-12-22 20:24:27+00:00,Thank you!
2022-12-22 20:18:08+00:00,Freedom of the press is under attack around the world.  Rana Ayyub and other brave journalists who risk their lives to report on abuses of power and other matters of public interest need our protection and support. https://t.co/FbMDYBBZi4
2022-12-22 20:18:00+00:00,"American journalist Shireen Abu Akleh was killed six months ago and there has still been no credible, independent investigation or accountability.  Impartial investigators should examine all the evidence, wherever it leads. https://t.co/OKRN0JSkVm"
2022-12-22 20:17:54+00:00,Today CIVIC continues her legacy around the globe. My RECORD statement HERE: https://t.co/qAtrwIycwF
2022-12-22 20:17:53+00:00,"2023 is the 20th anniversary of the Center for Victims in Conflict, created by Marla Ruzicka whose passionate advocacy forced us to acknowledge and help innocent victims of US military operations in Afghanistan and Iraq."
2022-12-22 19:32:11+00:00,News Editors: BREAKING --  SENATE PASSES Omnibus Appropriations Bill w/ More Than $212M. Included By Leahy For 38 Projects Across VT. Passage Vote Was His Final Vote As A Senator From Vermont -- https://t.co/q5URfpwHfz
2022-12-22 07:14:33+00:00,Well said. We’re working around the clock right now to approve $42B in #Appropriations that Ukrainians need to survive and to secure their freedom.
2022-12-22 02:01:41+00:00,A privilege to attend Pres. Zelensky's address to a Joint Mtg. of Congress. We are working around the clock to pass more than $42B in #Appropriations aid to Ukraine to support their fight to preserve their democracy.
2022-12-21 20:18:18+00:00,"Honduran President Castro has started the process of establishing an independent commission against corruption and impunity.  A memorandum of understanding is a positive step, but a signed Convenio will be necessary to make the CICIH a reality. https://t.co/8snFHFyH2W"
2022-12-21 19:14:30+00:00,NEWS From Leahy/@SenSanders/@PeterWelch: Delegation Hails Long-Sought Locality Pay Recommendation For Fed. Workers In SE Vermont https://t.co/i7r8USmZQP
2022-12-21 05:07:42+00:00,Thank you Alex
2022-12-21 04:29:39+00:00,Thank you Alison
2022-12-20 18:28:16+00:00,Farewell Address Of Senator Patrick Leahy https://t.co/zAnCRyWKIH https://t.co/16hgXuDHuq
2022-12-20 14:04:49+00:00,I will deliver my Farewell Address on the Senate Floor at 11:15 this morning. You can watch live on C-SPAN2.
2022-12-16 21:37:45+00:00,"I commend Sec. of Energy Granholm for vacating the AEC’s flawed 1954 decision to revoke Robt Oppenheimer’s security clearance. He was a loyal American who was subjected to a gross miscarriage of justice, and this action was long overdue.  https://t.co/OyvDikOGNk https://t.co/lcTWir4AtO"
2022-12-16 20:35:02+00:00,"As PPT, the bills for signing are stacking up. Glad that one of these was my Patents for Humanity Act, cosponsored by @RepJeffries @RepSpartz &amp; @ChuckGrassley, sending it to @POTUS's desk. Our pgm is a prime example of IP's role in addressing the global challenges we face today. https://t.co/T3iRygIQJI"
2022-12-14 20:29:17+00:00,"Today, I joined as a cosponsor of @SenFeinstein’s Assault Weapons Ban. We must do better for America’s children, and I urge the Senate to take this legislation up immediately."
2022-12-14 20:29:14+00:00,"Today, Marcelle and I remember the tragic events at Sandy Hook Elem. in Newtown. We grieve with the families and whole nation for the 26 precious lives taken ten years ago. Nothing can replace them."
2022-12-14 03:52:18+00:00,"Leahy Statement on Bipartisan, Bicameral Framework for the Omnibus https://t.co/XI0Poqfsgr"
2022-12-12 19:22:42+00:00,"Proud to announce that @USGSA awarded $13.8 million to modernize the Highgate Springs border crossing. These funds will improve safety, security, and efficiency for Vermont’s residents, visitors, and businesses. More: https://t.co/bcdBZakbrk https://t.co/nXneB4jP7d"
2022-12-10 21:53:33+00:00,"My congratulations to the VTers nominated to the U.S. Service Academies this year. As always, they are an outstanding group of young people. I am proud of them. https://t.co/EH4h4Kmyi3"
2022-12-10 20:32:51+00:00,"As Senate President Pro Tem I designated signing of the #RespectForMarriageAct to @SenatorBaldwin, who led this effort. Now her signature is on the final bill along w/ Speaker Pelosi and, soon, Pres. Biden. #LoveIsLove https://t.co/RrevNQx1Pf"
2022-12-08 18:17:32+00:00,"The bill also guarantees recognition of interracial marriage, not previously in Federal law. The marriages of Vermonters should be respected anywhere in the U.S. and this law will make that possible."
2022-12-08 18:17:31+00:00,Love is love. It has been more than 13 years since #Vermont legalized same-sex marriage. I am proud to see the marriages of Vermonters are respected anywhere in the U.S. with the passage of the #RespectForMarriageAct.
2022-12-07 20:22:02+00:00,Senate Passes The Leahy-Led Unleashing American Innovators Act https://t.co/Iqa9XlP4MW
2022-12-07 16:46:18+00:00,My Unleashing American Innovators Act is a win-win. It will open up our IP system to more innovators of all walks of life. And it will strengthen our economy &amp; secure our place as the world’s innovation capital. Let’s get this bill enacted. Let’s #UnleashAmericanInnovators
2022-12-07 16:46:17+00:00,I’m so glad the Senate unanimously passed my bipartisan Unleashing American Innovators Act last night. This bill will help us better tap into America’s greatest natural resource: the genius of the American people. The House should take it up and pass it swiftly!
2022-12-06 17:51:32+00:00,"I was pleased to welcome Vermont’s Bishop Coyne to Washington today, as the Senate’s guest chaplain, to deliver this morning’s invocation opening the Senate session. https://t.co/VHMlpbxLkv"
2022-12-02 19:39:15+00:00,The 25th anniversary of the int’l treaty banning landmines is tomorrow. It is long past time for the U.S. to join with 164 other nations and renounce these inhumane weapons. https://t.co/ft44JzZIYO https://t.co/L5398nKnQk https://t.co/k9ZpqIAFLn
2022-12-01 18:24:20+00:00,"Thank you, @LeaderMcConnell for your kind words today. I am proud of the work we have been able to accomplish together. https://t.co/rQez6zvOPN"
2022-12-01 16:10:21+00:00,"By making our IP system more accessible to Americans of all walks of life, the bipartisan Unleashing American Innovators Act would boost our economy &amp; strengthen our place as the world's innovation capital. Let's get this bill done. #LetsUnleashAmericanInnovation"
2022-12-01 16:10:18+00:00,"Today, my bipartisan IP bill w/ @SenThomTillis and @maziehirono, the Unleashing American Innovators Act, unanimously passed out of the Judiciary Committee. This bill would help us better tap into America's greatest natural resource: the ingenuity of the American people."
2022-11-30 15:12:39+00:00,It makes me very proud that #VT continues to be a leader in green innovation. #BraveLittleState https://t.co/iDqnngtNqV
2022-11-30 14:39:28+00:00,"ALL Americans should have the right to marry--the right to love someone and build a life with them--regardless of gender or race. The Senate took one step closer last night to enacting that right. Looking forward to action from the House, then on to POTUS."
2022-11-29 23:40:32+00:00,"BREAKING: Leahy REAX As Senate Tonite Passes The RESPECT FOR MARRIAGE Act, Repealing the Defense of Marriage Act (DOMA) – https://t.co/jhAhJ2DtZ2"
2022-11-29 22:32:33+00:00,"Was so honored to be recognized by @uspto &amp; @CopyrightOffice for my legislative legacy on intellectual property issues. As I said during my remarks, I could not have accomplished anything w/out partners in Congress, the Exec. Branch, and our dedicated staff. https://t.co/IaXQLRiV0p"
2022-11-29 17:19:44+00:00,Senate Unanimously Passes The Leahy-Grassley Patents For Humanity Act Of 2022 @GrassleyPress https://t.co/bWIw3uEX1t https://t.co/xWBKyjnCOn
2022-11-29 15:17:58+00:00,"I am saddened by the announcement that the northern long-eared bat is now considered endangered by #USWF. In my remaining days in the Senate, as we finalize #Appropriations bills, I will continue the work I’ve led for many years to secure funding for white-nose syndrome research."
2022-11-28 20:19:19+00:00,"Honduran President Xiomara Castro pledged to support an independent CICIH under UN auspices.  It is time to honor that pledge, and to put Honduras on a path to real justice and accountability where no one is above the law. https://t.co/SirNVoHKk7"
2022-11-28 18:01:21+00:00,Congratulations to Montpelier on receiving $13.5M in #usdaRD for an innovative wastewater project that will both reduce carbon emissions and increase revenue.
2022-11-25 02:39:25+00:00,This week I slipped out of my office in the Capitol and went out on the balcony so Marcelle and I could watch the Capitol tree going up. Looks a lot more like winter back home in Vermont but it is an historical view with the Washington Monument on the Mall. https://t.co/IuM6UEOSvx
2022-11-24 14:30:21+00:00,Marcelle and I wish a Happy #Thanksgiving to all!
2022-11-21 23:23:43+00:00,The Latin American and Caribbean nations deserve praise for electing a president of the IDB from the region and with the experience and temperament to repair the damage inflicted during the past two years and focus on pressing challenges. https://t.co/JMFzZsePKH
