Datetime,Text
2023-01-01 20:02:57+00:00,"Wishing everyone a happy New Year! Stay safe and warm, and let’s start 2023 strong. https://t.co/pw9say90VN"
2022-12-26 19:14:34+00:00,Happy Kwanzaa! Wishing everyone a blessed Kwanzaa to all who celebrate in New Mexico and around the world.
2022-12-25 16:46:12+00:00,"Merry Christmas – from my family to yours! Wishing you a day filled with family, joy, and holiday cheer."
2022-12-24 16:38:05+00:00,"Merry Christmas Eve, New Mexico!"
2022-12-23 20:04:20+00:00,"Big news: @MartinHeinrich and I announced over $273 million that we secured for 146 projects across New Mexico. These projects will restore our acequias, expand access to affordable housing, strengthen health care, and so much more.  
https://t.co/dNRFqelEIK"
2022-12-23 19:03:49+00:00,"New Mexico is at the forefront of progress and innovation, and I'm honored to serve New Mexico families in the Senate. 

There's a lot that can be learned from New Mexico. When we show up, we win. 
https://t.co/RtSNsTvpnd"
2022-12-22 22:03:42+00:00,"Bundle up, New Mexico! Remember to protect your pets, pipes, and plants during this freeze."
2022-12-22 20:10:19+00:00,"Just left the Senate floor where I voted to pass the bipartisan appropriations bill. This critical funding will make needed investments in every corner of New Mexico. More ⬇️

https://t.co/hvrovIVchj"
2022-12-22 18:06:49+00:00,"I look forward to voting YES on the vital appropriations legislation to empower New Mexico’s wildfire recovery, support our veterans and national security, and invest in critical projects across the state."
2022-12-22 02:17:33+00:00,"Honored to witness President Zelenskyy’s address to a Joint Session of Congress. 

President Zelenskyy is right: Our support is an investment in global security and democracy. We must continue to stand with Ukraine. 🇺🇦"
2022-12-21 23:11:24+00:00,"Everyone’s a Lobo 🐺

Just three D1 teams are left undefeated and UNM is one of them! #GoLobos"
2022-12-21 22:45:16+00:00,The federal government must do everything possible to make New Mexicans whole following the Hermit’s Peak/Calf Canyon Fire. I’m proud to have secured an additional $1.45 billion for those impacted to help Northern New Mexico recover and rebuild.
2022-12-20 19:55:54+00:00,I'm extremely proud that Congress will soon vote on an additional $1.45B for New Mexicans recovering from the Hermit's Peak/Calf Canyon Fire. This is extremely crucial funding to help make our families whole once again.
2022-12-20 16:49:53+00:00,"I’ll always cherish that memory, as will my staff. Thank you Senator Leahy for always taking the time to share your warmth with others—it was an honor to learn the ropes of the Senate from you. All my best to you and Marcelle as your next chapter begins! (3/3)"
2022-12-20 16:49:53+00:00,"As we were looking around and admiring his office, Senator Leahy treated my staff with such warmth and kindness, taking the time to show us some of his favorite photos he took and hung on his wall. (2/3)"
2022-12-20 16:49:52+00:00,"One of my favorite memories of @SenatorLeahy was during my office’s holiday party. The Senator invited my staff onto his balcony to take a photo and as we were walking out, Senator Leahy invited us to peek into his office. (1/3) https://t.co/Ju9oqg6OBF"
2022-12-19 22:00:27+00:00,Happy Chanukah New Mexico! https://t.co/zvzqfDe1FW
2022-12-19 19:17:10+00:00,More COVID-19 at-home tests are now available for the holiday season! Thank you to the Biden Administration for bringing another round of free tests to keep everyone safe as families come together.
2022-12-19 16:57:51+00:00,"A year of change indeed.

2022 brought a lot of challenges—for New Mexicans and Americans. But we came together to solve big problems and help those who needed it most.

I’m grateful for the progress we made &amp; look forward to making more in the coming year.https://t.co/0qanl79YTH"
2022-12-16 22:14:55+00:00,Over 220K New Mexicans &amp; millions nationwide live in broadband deserts. Congress passed the Infrastructure Investment &amp; Jobs Act to support fixed &amp; mobile broadband. Now it’s time for new federal support for broadband to bridge the digital divide &amp; connect our rural communities.
2022-12-16 21:34:39+00:00,"This week has been busy! Here are the highlights:
🔸Respect for Marriage Act signed into law by @POTUS ✅
🔸Senate passed the NDAA ✅
🔸Progress towards funding omnibus ✅
🔸My acequia provision in the Water Resource Dev. Act passed ✅
🔸 $800M for our Ukrainian allies ✅"
2022-12-16 19:13:32+00:00,Congratulations to New Mexico’s Rep-Elect Gabe Vasquez and @RepTeresaLF on their leadership positions in the @HispanicCaucus. I look forward to working with you both to uplift and support the Hispanic community across the country and at home in New Mexico!
2022-12-16 01:33:06+00:00,"Just now on the Senate floor, a bipartisan group of Senators passed the National Defense Authorization Act which includes funding for Los Alamos and Sandia National Labs, authorization for the Water Resources Development Act, and many more achievements I helped secure for NM."
2022-12-15 23:22:28+00:00,I’m proud to join @SenWhitehouse and @SenAmyKlobuchar in introducing the Improving Treatment for Pregnant and Postpartum Women Act 2.0 that’ll support families and children in all communities to prevent health risks and help treat substance use disorders.
2022-12-15 23:22:27+00:00,"Pregnant women suffering from postpartum or substance use disorders often don't reach out for help because lack of resources or fear of retribution.

There needs to be more support and funding for women who are at risk or currently struggling with substance use disorders."
2022-12-15 20:54:00+00:00,Another information and listening session for Hermit’s Peak/Calf Canyon Fire Assistance Act is happening tonight in Las Vegas - Old Memorial Middle School. https://t.co/wwzhtQQjpf
2022-12-15 20:06:07+00:00,"Today, I honored my friend and mentor, Korean War Medal of Honor Recipient Hiroshi “Hershey” Miyamura.

Hershey witnessed the deepest evil, and yet, still chose joy.

His legacy and impenetrable faith will live on through those who knew and loved him. https://t.co/T2fDGXMBTE"
2022-12-15 16:29:18+00:00,A beautiful portrait for a historic legacy. This incredible work of art will serve as a reminder to everyone who walks the halls of Congress of @SpeakerPelosi’s brilliant career. She will always represent the very best of us.
2022-12-14 22:12:15+00:00,"No one knows New Mexico better than New Mexicans. @FEMA is hiring to help process Hermit’s Peak/Calf Canyon Fire Assistant claims for those impacted by the fires. More information below.
https://t.co/YU2OrnfhfE"
2022-12-14 20:14:27+00:00,"It’s unimaginable that 10 years have gone by since the mass shooting at Sandy Hook Elementary. Today, my thoughts are with the 26 lives that were cut short. These children deserved not only a full life, but to be protected. We must do so much more to end this horrific violence."
2022-12-13 21:53:29+00:00,Today @POTUS signed the Respect for Marriage Act into Law! A bipartisan piece of legislation that protects same-sex and interracial marriage on the federal level. Historic!
2022-12-13 21:50:37+00:00,"This week, we’re highlighting the benefits in the recently enacted #PACT Act. If you’re a vet who was subjected to burn pits, agent orange, or other toxic exposures, you could be eligible for additive benefits.

Please go to https://t.co/yXoSRLOIQa to find out if you’re eligible."
2022-12-13 20:18:42+00:00,I’m very concerned about the termination of multiple safeguards previously in place to help curb disinformation and hate speech on Twitter. Twitter should not be an echo chamber of violent misinformation.
2022-12-13 19:34:09+00:00,"This morning, I had the honor of Chairing @commercedems in my last hearing of the year. Covering an issue that affects all Americans—ensuring affordable and reliable broadband is accessible to all. https://t.co/pRSDefSf1F"
2022-12-12 22:18:58+00:00,"Having grown up along the Acequia de la Comunidad in Nambé, my earliest memories include waking up with my family to irrigate our small farm.

Over the weekend, I had the honor of speaking at the Congreso de las Acequias about our fight and progress in protecting our acequias. https://t.co/D0wSHTAqA4"
2022-12-12 22:00:06+00:00,"New Mexico has experienced the effects of climate change, from severe weather to dwindling natural resources, firsthand. 

It’s been 7 years since the Paris Climate agreement and we must continue to act on climate for the sake of our planet’s future.
https://t.co/vesiHULdkN"
2022-12-12 21:37:10+00:00,"As New Mexico braces for another hard freeze, I’m working to help lower heating costs for hard working families. No one should have to worry about paying high energy bills this winter to keep warm."
2022-12-11 17:06:51+00:00,Protect yourself and your family against the flu and COVID-19 this winter by making sure you get vaccinated and boosted. Please visit https://t.co/0psY0OB0kz for more information.
2022-12-09 18:32:25+00:00,I'm very pleased to work with @NTIAgov to award this grant to the Pueblo de San Ildefonso to expand broadband access &amp; bring high-speed internet to hundreds of homes &amp; businesses on Tribal land. This is a game changer to the community &amp; next step towards 100% connectivity in NM.
2022-12-08 21:33:43+00:00,"Congratulations to Juan Sanchez on his confirmation as Co-Chairman of the Southwest Border Regional Commission. A dedicated public servant through and through, I know Juan will continue to serve the Southwest admirably and with a lot of heart."
2022-12-08 19:55:26+00:00,"Today we observe Latina Equal Pay Day because Latinas, on average, make 54 cents to every dollar made by white, non-Hispanic men. For the good of women, families, and our economy, I’m committed to changing this reality. #LatinaEqualPay"
2022-12-08 18:27:21+00:00,"So great knowing that Brittney Griner is safe and on her way home. Grateful for the work of @POTUS and his entire administration for making this happen. Welcome home, Brittney!"
2022-12-07 21:49:15+00:00,"Santa Fe has an opera so beautiful and renowned that it is heard and recognized around the globe. What an honor to have The Santa Fe Opera recognized as Festival of the Year at the ‘Oscars’ of Opera in Madrid, Spain. Truly wonderful. 
https://t.co/Ovr1xhtMx3"
2022-12-07 20:31:52+00:00,I’m very saddened to learn about the passing of George “Jeep” Gilliland. Jeep was a labor rights leader who championed for workers' rights all throughout New Mexico. My deepest condolences and thoughts are with his family.
2022-12-07 19:20:51+00:00,It’s a good day when heroes are recognized. 🇺🇦 https://t.co/zTmW3v5Q4Z
2022-12-07 18:12:57+00:00,51!
2022-12-07 18:09:53+00:00,"81 years ago, 2,403 lives were lost in the attack of Pearl Harbor. Today and every day, we honor the memory of the lives of service members and the ultimate sacrifice they made for our nation."
2022-12-06 22:15:21+00:00,"Thanks to the Bipartisan Infrastructure Law, there’s an increase 📈 in documentation of orphan wells across the country. It’s imperative to continue researching &amp; developing technology to identify orphaned wells &amp; plug them for the sake of public health. https://t.co/1Xv05aDo8S"
2022-12-06 20:35:26+00:00,"This National Impaired Driving Prevention Month, I mourn the lives lost to impaired driving &amp; will continue working towards prevention. With the passage of my RIDE Act in the BIL, @NHTSAgov @USDOT will require proven tech for vehicles to help better combat impaired driving."
2022-12-06 18:54:28+00:00,"God bless each and every Capitol Police officer who bravely held the line to protect our democracy on January 6th, 2021. It is because of their valor and sacrifice that we can continue the transition of power here in Washington, a cornerstone of our democracy."
2022-12-05 17:34:32+00:00,Happy birthday @AFLCIO! Unions have made the American workforce built to last. I’m so grateful to have partnered with and supported unions throughout my entire career. Thank you to all union members!
2022-12-05 16:17:31+00:00,"The CHIPS and Science Act is already at work in New Mexico, and Albuquerque is soon to be the home of new science and tech opportunities—bringing the public and private sectors, creating new jobs and driving economic growth. https://t.co/i84PaIrihp"
