Datetime,Text
2023-01-01 23:18:05+00:00,"Thanks to the Inflation Reduction Act passed by Democrats and signed by @POTUS last year, the cost of Insulin is now capped at $35 a month for Medicare Part D beneficiaries! But, our work isn't done until we make sure insulin is affordable for all who need it. https://t.co/sklfsf6xFC"
2023-01-01 05:00:39+00:00,"Happy New Year! Sending our best wishes to everyone for a happy, healthy, and successful 2023! https://t.co/QReQ6CUFNw"
2022-12-29 14:17:00+00:00,Republican states who desire to keep #Title42 in place have made their agenda clear – to prevent the Biden Administration from making any progress in reducing the inhumane consequences of mass migration at the southern border. https://t.co/UkInVEApZ2
2022-12-29 01:24:05+00:00,"Hard to believe that it's been a year since we lost my good friend Senator Harry Reid, and though we may not see his trademark hat wondering these halls anymore, the mark that he left on this institution lives on. https://t.co/M0K79oAsho"
2022-12-28 01:52:06+00:00,"#Title42 is an affront to our nation’s values and it goes against every word that is etched on the Statue of Liberty. 

In response to this legal setback, the Biden Admin should recommit to expanding legal pathways of migration to the U.S. rather than relying on this Trump relic."
2022-12-26 21:41:05+00:00,"As Kwanzaa begins, I'm wishing a bright and meaningful holiday to all celebrating! https://t.co/UZ0rdAPsey"
2022-12-25 16:37:05+00:00,Merry Christmas! Nadine and I are sending our best wishes to all celebrating today! https://t.co/BuTAdvSupG
2022-12-24 00:20:00+00:00,"The Federal Reserve was founded on this day in 1913. It is now 109 years old and yet it has still never had a Latino serving as a regional Bank President. 

I won't stop calling attention to this until Latinos finally have a voice at the highest echelons of the Fed’s leadership."
2022-12-22 21:33:46+00:00,While this bill should have included a provision paving the way for the Latino Museum to be built on the National Mall – I’m proud to have voted for the package and look forward to working with my colleagues in the next Congress to advance the issues that were left behind.
2022-12-22 21:33:46+00:00,"🤰🏽 Securing a five-year extension of the MIECHV Program 
🥼 200 additional slots for Graduate Medical Education 
⚖️ Justice and relief to 9/11 families 
🏥 Funding Puerto Rico’s Medicaid program for the next five years
💵 $181 million for NJ community projects
🚊 Gateway Funding"
2022-12-22 21:33:46+00:00,"🧵 With today’s passage of the FY23 funding bill, we’ve been able to support many of the priorities I’ve been fighting for during the 117th Congress 👇
https://t.co/Ux21W2FwYP"
2022-12-22 21:17:00+00:00,"This is outrageous. Guns have no place in our schools, and neither do the NRA and its extreme propaganda.
https://t.co/cLHLsLqoSM"
2022-12-22 20:19:06+00:00,"In all of my 30 years in Congress, there have been few moments as profound as passing the Daniel Anderl Judicial Security and Privacy Act and delivering on our promise to Daniel’s parents, who have done the greatest service for their country out of their love for their son. https://t.co/ZqYn3F0gZV"
2022-12-22 18:36:05+00:00,"21 years ago, nearly 3,000 Americans—including 750 New Jerseyans— were senselessly murdered on 9/11, and many of their families have still not received justice. 

They are the reason I'm on the floor right now urging my colleagues to support my Fairness for 9/11 Families Act."
2022-12-22 16:28:16+00:00,"Republicans know that #Title42 has led to record high border crossings. Voting yes on any amendment to extend Title 42 will doom this omnibus spending package.
 
Considering an indefinite extension of this failed and inhumane policy is the greatest failure of all."
2022-12-22 03:02:09+00:00,"Saddened to hear of the passing of Franco Harris, who, on top of being a legend on and off the field, was also a proud son of New Jersey who was born in Fort Dix and graduated from Rancocas Valley Regional High School. May he rest in peace.
https://t.co/QOd8kM9H5Q"
2022-12-22 01:27:53+00:00,"Congratulations on a tremendous career, @Jim_Gardner! You will be dearly missed - wishing you all the best in your retirement."
2022-12-21 22:43:58+00:00,"Today I went to the Senate floor appalled at how this body has treated Latinos in the final days of the 117th Congress. This year, on issue after issue, Latino communities have learned that that some of their top priorities were forgotten or ignored. https://t.co/BW91T3sTj1"
2022-12-21 19:03:01+00:00,"Thanks to our Inflation Reduction Act, health coverage is more affordable than ever, and thanks to @GovMurphy's leadership, if you live in New Jersey, you still have until Jan. 31st to enroll in a health plan through Open Enrollment. Visit https://t.co/qOu9NkGg1m."
