Datetime,Text
2023-01-01 15:25:00+00:00,Wishing you and your family a happy and healthy 2023! Happy New Year! https://t.co/TGcksGxw1R
2022-12-31 18:43:07+00:00,"Vicki &amp; I are relieved a suspect has been arrested in the murders of Kaylee, Madison, Xana, &amp; Ethan. Thank you to all levels of law enforcement that worked so hard &amp; carefully to resolve this case. Vicki &amp; my prayers continue to go out for the families of the four victims."
2022-12-25 15:23:00+00:00,"Vicki and I wish everyone a safe and happy holiday.

Merry Christmas and God bless! https://t.co/Atq52WqsA6"
2022-12-22 21:30:21+00:00,"Today, I voted NO on the $1.7 trillion government spending bill. https://t.co/RpjSwDtSvF"
2022-12-21 22:15:00+00:00,There’s still time to #SupportLocalGems this holiday season and show the small businesses in your community how much they mean to you. https://t.co/6lBM1hRsmG
2022-12-21 15:52:04+00:00,"Biden failed to secure the southern border despite numerous calls for action. In fact, I released an extensive report that clearly outlines the policies encouraging illegal migration.
To slow illegal immigration we must extend Title 42 &amp; finish the wall.
https://t.co/A21kSlIqwd"
2022-12-20 22:41:09+00:00,"Recovering salmon and steelhead and maintaining our river system's benefits to Idaho are not mutually exclusive goals. I'm thankful my Endangered Salmon Predation Prevention Act has been a “game changer” in helping improve salmon returns.
🔗https://t.co/z8BKRqDOde"
2022-12-20 19:15:00+00:00,"Want to #SupportLocalGems on a budget?

📝Write a positive review

💓Recommend your favorite local business to friends and family

🙌 Tell a small business owner ""Thank you!"""
2022-12-20 16:12:25+00:00,"The Human Trafficking Hotline can save lives. With the passage of my Human Trafficking Prevention Act, every transportation hub in America will post this phone number.

There's much more to be done to stop trafficking, but this is an important step.
https://t.co/ZKFbnn7jTi"
2022-12-19 20:28:00+00:00,"Did you know Idaho is home to the first nuclear reactor to produce a usable amount of electricity?

Tomorrow, @INL invites Idahoan’s to visit the Experimental Breeder Reactor-I to celebrate the 71st anniversary of this feat.

🔗 https://t.co/jriEgJxbo4 https://t.co/sCIkR8YR1D"
2022-12-19 18:29:51+00:00,"The population of Idaho is 1.9M. The number of illegal border crossings since Biden took office is more than 2x Idaho's population (4M). 
Once Title 42 lapses, how quickly will that number reach 3x or 4x the size of Idaho? We need stronger border policies, not an end to Title 42."
2022-12-19 17:56:28+00:00,"Last week, I was able to secure multiple provisions in the FY 2023 NDAA to ensure our military is equipped with proper resources to defend our country. These include support for the @IDNationalGuard and repeal of the vaccine mandate for active military. 
https://t.co/p4srbydjoB"
2022-12-15 20:30:00+00:00,"The Harkness Hotel highlights McCammon’s unique history and Idaho’s genuine hospitality.
 
Congratulations to The Harkness Hotel for being named the Idaho Small Business of the Month for December.
https://t.co/ZBaCkVLddt"
2022-12-15 18:25:33+00:00,"3,400 troops have unfairly been discharged due to their sincerely-held beliefs regarding the COVID-19 vaccine. I joined @MikeCrapo in a letter to President Biden demanding they be reinstated.
https://t.co/ZYi1ikHZ9Q"
2022-12-14 19:22:00+00:00,"In Idaho, small businesses power the state’s economy, supply local jobs, and provide the Gem State with irreplaceable value. 

This holiday season, I encourage Idahoans to #SupportLocalGems all season long to keep our Main Street favorites around for years to come."
2022-12-14 17:00:02+00:00,"There is no doubt that President Biden has worsened this border crisis to new lows.  

We need immediate action to secure the border and disincentivize migrants from coming here illegally. 
https://t.co/EOJA3dv3o0"
2022-12-14 15:43:47+00:00,"With Title 42 on its way out and caravans continuing to arrive at the border, it is beyond clear America needs a strong, extensive border wall."
2022-12-13 19:04:21+00:00,"Even @INL has found a way to #SupportLocalGems! 

Thank you, INL, for your continued support of the small businesses that are the backbone of our economy."
2022-12-13 18:48:08+00:00,"When Title 42 ends next week, this will become the norm, and the crisis at the southern border will only get worse."
2022-12-13 18:13:00+00:00,"American families have seen prices increase 13.8% since President Biden took office. 

Now is the time to reign in reckless spending and ease costs to consumers."
2022-12-13 16:27:00+00:00,"Happy 386th birthday to the @USNationalGuard !

Thank you to the men and women of the @IDNationalGuard  who are ""Always Ready. Always There."" to serve our country. https://t.co/kIcOxHR1cN"
