Datetime,Text
2023-01-02 00:36:53+00:00,Happy New Year! Wishing everybody a happy and healthy 2023. https://t.co/hqgZPR5jK9
2022-12-31 14:39:02+00:00,I join the faithful of the Catholic Church in mourning the passing of Pope Emeritus Benedict XVI. He was a prolific writer and a strong defender of the Church. He will be remembered as a quiet and humble servant.
2022-12-28 01:49:30+00:00,25 U.S.C. 285 Withholding annuities from Osage Indians for nonattendance at schools: https://t.co/jslUbZueeM
2022-12-28 01:49:02+00:00,25 U.S.C. 283 Regulations for withholding rations for nonattendance at schools: https://t.co/fl74K9DGRr
2022-12-28 01:48:39+00:00,25 U.S.C. 273 Detail of Army officer: https://t.co/8QQcNa7iSS
2022-12-28 01:48:09+00:00,25 U.S.C. 138 Goods withheld from chiefs violating treaty stipulations: https://t.co/CcGuomex7f
2022-12-28 01:47:42+00:00,25 U.S.C. 137 Supplies distributed to able-bodied males on condition: https://t.co/12OZPjxrGk
2022-12-28 01:47:12+00:00,25 U.S.C. 130 Withholding of moneys or goods on account of intoxicating liquors: https://t.co/XNR7g95ZzL
2022-12-28 01:46:28+00:00,25 U.S.C. 129 Moneys due Indians holding captives other than Indians withheld: https://t.co/9ReRy98JsD
2022-12-28 01:45:57+00:00,25 U.S.C. 128 Appropriations not paid to Indians at war with United States: https://t.co/O43JUxudLe
2022-12-28 01:45:28+00:00,25 U.S.C. 127 Moneys of annuities of hostile Indians: https://t.co/5z3ogXPwQ1
2022-12-28 01:44:58+00:00,25 U.S.C. 72 Abrogation of treaties: https://t.co/DncFip7ZOe
2022-12-28 01:44:29+00:00,25 U.S.C. 302 Indian Reform School; rules and regulations; consent of parents to placing youth in reform school: https://t.co/xhXh4lY5vb
2022-12-28 01:43:27+00:00,"Since 2016, I’ve led legislation to repeal 11 outdated, discriminatory federal laws targeting Native Americans.

Today, my bill was signed into law. 

Here are the eleven immoral, racist laws that will no longer be in U.S. Federal Code:"
2022-12-25 15:43:00+00:00,"From our family to yours, wishing everyone in South Dakota and beyond a Merry Christmas! https://t.co/LGCO490HDk"
2022-12-19 01:25:08+00:00,Wishing a Happy Hanukkah to all who celebrate! https://t.co/d3v8KMSXrQ
2022-12-14 22:49:12+00:00,"As the end of the fall semester nears, we’re saying goodbye to our fall interns: Madison in Sioux Falls and Justin and Christine in DC. We have truly appreciated all of their hard work and will miss seeing them in the office. https://t.co/u3UF8WUHLl"
2022-12-14 20:01:23+00:00,More on the RESPECT Act: https://t.co/3LOlXbEe8J
2022-12-14 19:53:02+00:00,"‼️GOOD NEWS: Our RESPECT Act just passed in the House.‼️

It’s long overdue to remove these immoral, discriminatory federal laws from our books. I am pleased this bipartisan, commonsense legislation is heading to the president’s desk to be signed into law."
2022-12-13 21:08:55+00:00,"Good job, @govkristinoem. Thanks for your support on this critical national security issue. In August, I introduced legislation on the federal level to blacklist foreign entities, like China, from purchasing both ag land and ag businesses in the United States."
2022-12-13 16:58:07+00:00,"In addition to principal nominations, I'm also able to submit up to nine competitive nominations per service academy. Each service academy admission board gives full and fair consideration to these nominees and determines final appointments. 

Congratulations to these students! https://t.co/qVNTr3ae9y"
2022-12-12 23:22:57+00:00,"We are grateful for his hard work during this past year and wish him well in his new position as the deputy base civil engineer with the 114th Fighter Wing, South Dakota Air National Guard in Sioux Falls."
2022-12-12 23:22:47+00:00,Major Ben Shafer recently completed his Air Force fellowship with my office. Ben is originally from Hartford and graduated from South Dakota State University. https://t.co/y6ZdT5HCFd
2022-12-07 17:03:46+00:00,"Today, we remember the brave Americans who lost their lives in the attack on Pearl Harbor, and honor those who defended our nation in the aftermath. Their sacrifices will never be forgotten. https://t.co/LVt3Hm4xQF"
2022-12-07 15:46:51+00:00,"Shane Van Boening, 'The South Dakota Kid,' is the top-ranked pool player in the world, and a native of Rapid City. He was featured on 60 minutes over the weekend! https://t.co/mCCwIm0L5q"
2022-12-06 14:27:13+00:00,"Congratulations to Abby Turbak on being selected as a 2022 Milken Educator! South Dakota is blessed to have teachers like her educating the next generation. 
https://t.co/LXAJVAwNsh"
