Datetime,Text
2023-01-02 18:55:30+00:00,"Are you traveling back home after the holidays? Don’t forget to take a COVID-19 test to ensure infection rates don’t skyrocket this winter. You can order FREE at-home testing kits that are shipped to your door. 
https://t.co/hKKY04vcd9"
2023-01-01 15:00:02+00:00,"Wishing everyone a Happy New Year! 🎉

In 2022, I worked to cap insulin costs for Medicare recipients, cut energy costs for NH families, secure funds for local infrastructure projects &amp; much more. I look forward to continuing to serve Granite Staters in 2023. https://t.co/h0yjn1WMVI"
2022-12-31 18:01:00+00:00,Proud to support continued assistance to Ukraine in this year's #NDAA. This aid sends a clear signal to Putin that the U.S. remains firmly committed to our democratic partners and in fierce opposition to his brutal war waged in 🇺🇦 https://t.co/vzJO52tYXy
2022-12-30 17:01:30+00:00,"The FY23 #NDAA includes my Homeland Procurement Reform (HOPR) Act to ensure @DHSgov procures American-made uniforms and other PPE. Bolstering our domestic supply chain &amp; manufacturing sector is a national security priority, &amp; this provision will help us meet that goal. https://t.co/FX41OzyCDw"
2022-12-30 01:10:47+00:00,"✅Resources to combat the substance use disorder epidemic.

✅Essential reforms to protect our democracy by updating the Electoral Count Act.

And more!"
2022-12-30 01:10:47+00:00,"✅Record-level funding to support survivors of sexual and domestic violence for the sixth year in a row. 

✅Reauthorization of the Afghan SIV program &amp; 4,000 additional visas for FY 2023."
2022-12-30 01:10:46+00:00,"NEW: The bipartisan FY23 gov’t funding bill has been signed into law! As a senior member of the Senate Appropriations Committee, I worked to secure the inclusion of numerous NH and national priorities including:🧵"
2022-12-29 21:03:00+00:00,"Local CAP agencies are instrumental to helping Granite Staters access home heating assistance. I appreciate their work to help families like Elvira’s stay warm. Don’t hesitate to reach out to your local CAP if you need help paying heating bills. 

https://t.co/aYIQg3ihGN"
2022-12-29 18:48:13+00:00,"John was a good man, who always put his community first. As we mourn his passing, I hope we can take a page from his book and do what we can with the time we have to support &amp; look out for one another. My thoughts are with his family during this difficult time."
2022-12-29 18:48:13+00:00,"I was fortunate to know John during my tenure as Governor &amp; later in the U.S. Senate, and among his many accomplishments, revered him for his service through the Northern Forest Lands Council, ushering through many conservation projects."
2022-12-29 18:48:12+00:00,"John’s coverage of the tragic Drega murders earned him national recognition, weaving compassion for the Phillips, Lord, Bunnel &amp; Joos families with intrepid reporting to reflect how the community held together in their mourning."
2022-12-29 18:48:12+00:00,It’s been a difficult few days since the passing of John Harrigan. I’ve spent time reflecting on the indelible mark he left on the North Country community &amp; our state.
2022-12-29 15:30:00+00:00,"Thrilled that my legislation, the FENTANYL Results Act, was included in #NDAA. As fentanyl fuels the addiction crisis in NH &amp; across the nation, @StateDept must work w/ our partners and take steps to identify, track &amp; detect synthetic controlled substances. https://t.co/5flwuEUd6F"
2022-12-28 17:38:17+00:00,"I am also glad that the #NDAA includes a record $20 million to continue the PFAS health study that began at Pease, which I fought to establish. We must leave no stone unturned in understanding the impacts of PFAS on our communities."
2022-12-28 17:38:17+00:00,I also fought to ensure that this important legislation prioritizes PFAS remediation and clean-up efforts and promotes more effective and transparent info sharing w/ communities impacted by PFAS.
2022-12-28 17:38:16+00:00,"W/ my provisions, @DeptofDefense must stop buying PFAS-laden firefighting equipment by 2026 to better protect service members and firefighters who are too commonly exposed."
2022-12-28 17:38:16+00:00,"PFAS exposure leaves our neighbors, including military families, vulnerable to adverse health impacts. Proud to see my provisions to protect service members and defense communities from PFAS included in this year’s #NDAA. 🧵 https://t.co/XH641YsETl"
2022-12-28 15:02:00+00:00,"Need help paying for home heating bills this winter? Applications are currently being accepted for the Low Income Home Energy Assistance Program (LIHEAP) and Weatherization Assistance Programs (WAP): 

Apply through your local CAP: 
https://t.co/PjN5nbDUBq https://t.co/auivSfpCkk"
2022-12-27 20:31:00+00:00,A friendly reminder that the Open Enrollment period is still ongoing. Shop around for an affordable health care plan for you and your family before the January 15th deadline:  https://t.co/tPQfI3brFe
2022-12-27 17:11:41+00:00,"The Portsmouth Naval Shipyard is home to some of the most qualified workers in the nation, &amp; this funding will continue the Shipyard’s naval excellence."
2022-12-27 17:11:40+00:00,"As co-chair of the Senate Navy Caucus, I secured over $500M through the #NDAA to strengthen the submarine industrial base and improve workforce training at our shipyards. https://t.co/EN8sKzwrrX"
2022-12-26 20:03:30+00:00,"With COVID-19 cases rising again, consider testing ahead of New Year’s Eve celebrations. You can order FREE at-home testing kits to be shipped straight to your door.  
https://t.co/hKKY04vcd9"
2022-12-26 16:03:30+00:00,"The Portsmouth Naval Shipyard is a point of pride for NH &amp; key to our national security. I fought for over $500M through the NDAA to support the Multi-Mission Dry Dock project, which is critical to modernizing the Shipyard. https://t.co/H36ssdocd5"
2022-12-25 19:23:30+00:00,"Great to see @SalemHighSchool students giving back this holiday season! Thanks to their efforts, over 1,000 turkey dinners are available for NH families in need.  
https://t.co/OfiXKrgBkM"
2022-12-25 15:31:30+00:00,"Wishing all those celebrating a Merry Christmas!🎄

I hope everyone has a safe &amp; happy holiday season. https://t.co/TB1L3KB5Jb"
2022-12-24 23:30:00+00:00,"Big thank you to crews working around the clock to restore power to those impacted!❄️ If you’re without power, contact your utility company to report an outage:

Eversource: 1-800-662-7764
Liberty Utilities: 1-855-349-9455
NH Electric Co-op: 1-800-343-6432)
Unitil: 1-888-301-7700"
2022-12-24 19:25:00+00:00,"Our veterans put their lives on the line to serve our nation – we owe them a debt of gratitude. Thank you to the Elliot Perry Foundation for stuffing more than 100 stockings with supplies for NH veterans experiencing homelessness this year. 
https://t.co/ckrKTTND1y"
2022-12-24 16:21:00+00:00,Wishing our service members a happy holiday season. Our men &amp; women in uniform put their lives on the line to keep our nation safe &amp; free – the Granite State is holding them in our thoughts. My letter below ⬇️ https://t.co/QLqGC82nC1
2022-12-23 20:17:00+00:00,Still have some to-do's on your holiday shopping list? Visit a local business to find the perfect gift! Supporting NH small businesses helps create jobs and strengthen our economy. #ShopSmall
2022-12-23 19:17:31+00:00,Fentanyl is making the substance use disorder crisis more lethal by the day. It’s a killer and we need to get it out of our communities. That effort needs to start by preventing it from crossing our borders. More on my bill that just became law: https://t.co/h3P6XfUQBp
2022-12-23 19:17:30+00:00,"We know that fentanyl is primarily being trafficked from China &amp; Mexico, so it is paramount that we address this issue globally. That’s precisely what the FENTANYL Results Act will do. Now that it’s law, we have a new way to help our nation get a handle on this crisis."
2022-12-23 18:02:00+00:00,Don’t forget to pack an emergency car kit before traveling to see loved ones this holiday season. Please drive safe and check out these tips on how to build your own car kit: https://t.co/TVVDpFdb7g https://t.co/NlD5IfbcyF
2022-12-23 16:57:20+00:00,"NEW: The FY23 NDAA – now law of the land – illustrates the bipartisan resolve in Congress to keep our nation safe &amp; secure. From combating fentanyl trafficking to bolstering domestic supply chains &amp; delivering aid to Ukraine, I’m proud to have shaped the new annual defense law."
2022-12-23 15:14:00+00:00,"It’s great to see police &amp; school officials in Nashua come together to support families in need around the holidays. Thanks to their efforts, more than 2 dozen families will receive meals &amp; gifts.  
https://t.co/xCsoWJd88T"
2022-12-23 14:01:00+00:00,"E-cig makers use deceptive marketing to hook teens on their dangerous products - they must be held accountable. Pleased that following my bill, @US_FDA now recommends collecting user fees from e-cig companies to help fund efforts to combat this crisis.
https://t.co/5JODMzwRiQ"
2022-12-23 01:15:00+00:00,"It’s always a good day when we can bring our fellow Americans home. I can only imagine the relief these two individuals &amp; their families are experiencing. The U.S. will not cease in our efforts to bring home all unjustly detained Americans.
https://t.co/UKs1QdLYfc"
2022-12-23 00:16:00+00:00,"The impact of Russia’s brutal invasion of Ukraine is deeply personal for our Ukrainian communities in NH. I stand with them and echo President Zelenskyy’s message – aid to Ukraine is not charity. It is an investment in democracy and global security.  
https://t.co/PYzXfpSYtH"
2022-12-22 23:15:00+00:00,Thrilled to see @POTUS sign into law a bipartisan bill I supported to protect firefighters from PFAS chemicals – both in firefighting foam &amp; gear. This an important step to establish best practices to keep firefighters safe on the job.
2022-12-22 22:17:00+00:00,"Be aware: A major winter storm in on the way and will bring intense winds &amp; flooding, with a potential for power outages across NH. Please plan accordingly &amp; avoid the roads if possible to stay safe.  
https://t.co/CFzU01jDHn"
2022-12-22 21:14:29+00:00,We made a promise to protect the brave Afghans who stood by our men &amp; women in uniform to advance the U.S. mission in Afghanistan. Upholding our commitment &amp; ensuring their safety is both a moral obligation &amp; a national security priority. https://t.co/EO0rYVH0Pn
2022-12-22 20:37:00+00:00,.@ZelenskyyUa is right: the U.S. must continue to stand by our Ukrainian partners. It’s not just the right thing to do as Ukraine defends itself from Russia’s brutal invasion - it’s also an investment in our national security and in the survival of democracy worldwide. https://t.co/57GWMTcPr5
2022-12-22 19:28:26+00:00,"✅Expansion of mental health support 
✅Affordable housing developments 
✅Modernization of @NHNationalGuard facilities 
✅Support for small businesses 
✅Funding for food pantries 
✅Water infrastructure updates and MORE!"
2022-12-22 19:28:26+00:00,"✅Resources to combat the substance use disorder crisis 
✅Expansion of veterans’ services 
✅Resources for public schools
✅Support for Ukrainian refugees 
✅Clean energy investments"
2022-12-22 19:28:25+00:00,"NEW: As a senior appropriator, I helped secure more than $111M in the government funding bill to support projects across NH. Here's a snapshot of what’s coming to NH through the congressionally-directed spending process: 📸"
2022-12-22 18:40:46+00:00,"Diane is a champion for Americans detained abroad, a cause she leads to honor the legacy of her son, James, who was killed by ISIS terrorists. Proud to work w/her on this issue &amp; to see those who target Americans brought to justice. An important read on her advocacy &amp; leadership."
2022-12-22 01:09:43+00:00,.@ZelenskyyUa is a hero. He is courageously leading his nation as Ukraine fights for its freedom and for democracies worldwide. His address to Congress – and the American public - was important to remind us why we must stand by our partners in Ukraine.
2022-12-22 00:30:00+00:00,Congrats to @JenCromptonWMUR on her well-deserved retirement! I’ve always enjoyed checking in w/ her &amp; appreciate her decades of dedication &amp; commitment to keeping NH communities informed. Jen has been a staple in the media community &amp; will be dearly missed!
2022-12-21 22:40:47+00:00,"Attn. Granite Staters: Friday’s storm system is expected to bring heavy rain, strong wind and potential icy conditions across NH. Stay safe &amp; be careful around holiday travel.  
https://t.co/X6Vw2Ir9Uh"
2022-12-21 21:30:10+00:00,🇺🇸 🇺🇦
2022-12-21 20:29:24+00:00,"Thrilled to see $45M now available to implement updated building energy codes in BIL following implementation of my bill w/ @senrobportman. These grants will improve energy efficiency in buildings, lower costs &amp; support good jobs."
2022-12-21 18:51:42+00:00,I’m leading a bipartisan letter with @senrobportman to urge the Admin to swiftly update these standards. https://t.co/ErIcKPZzW3
2022-12-21 18:51:41+00:00,Federally backed homes currently use woefully outdated energy standards. Building new homes to the most up-to-date codes makes a tremendous difference—it saves $$ and makes homes more comfortable while cutting emissions.
2022-12-21 17:48:27+00:00,"It’s devastating that overdose deaths in Nashua &amp; Manchester continue to skyrocket.  

I’ll continue to prioritize securing resources – including through the 2023 gov’t funding bill – to bolster our response to the substance use disorder epidemic to put this crisis behind us."
2022-12-21 16:30:10+00:00,"We'll be voting on the gov’t funding bill soon. It includes several of my efforts to confront the substance use disorder crisis, which worsened during COVID. Let’s get this done &amp; deliver it to @POTUS' desk so communities have tools they need to save lives."
2022-12-21 15:02:55+00:00,"I’m thrilled to welcome over $5.5M to NH from the bipartisan infrastructure law to expand broadband through planning &amp; developing infrastructure. As a lead negotiator around broadband provisions in this law, it’s rewarding to see this funding in action."
2022-12-21 14:02:00+00:00,"In 2021, NH law enforcement reported a nearly 80% jump in hate crimes across our state.  

Hatred &amp; violence have no place in our communities – we must root out this bigotry &amp; hold responsible those who threaten public safety. 
https://t.co/rqUfNYqw24"
2022-12-21 00:45:00+00:00,"Sex education programs help reduce teen pregnancy rates &amp; provide essential info on reproductive health, STI’s &amp; more. The Executive Council’s decision to reject funding for these programs puts Granite State youth at risk. Read more below⬇️
https://t.co/QMVM6ww6EM"
2022-12-20 22:31:58+00:00,Afghan women continue to bear the brunt of the Taliban’s abhorrent violence &amp; revocation of rights. The U.S. and the global community must uphold our promise to safeguard fundamental freedoms – like access to education – for Afghan women &amp; hold the Taliban to account.
2022-12-20 21:45:40+00:00,"A bittersweet day in the Senate as my friend, @SenatorLeahy, bids farewell. Thank you for your decades of service, Pat – it's been an honor to partner with you in serving New England communities. Thankfully, I’m just a quick trip over the border, I’ll see you soon!"
2022-12-20 21:04:10+00:00,"🚀🧪Investments to advance U.S. space exploration, support the implementation of the CHIPS &amp; Science Act, support climate science through @NOAA and strengthen STEM education.  
 
&amp; so much more. I'll continue working in the Senate to pass this bill &amp; deliver these wins for NH."
2022-12-20 21:04:09+00:00,"🇺🇸🚚Critical funding to bolster domestic manufacturing, support @US_EDA &amp; advance New Hampshire’s outdoor recreation sector."
2022-12-20 21:04:09+00:00,"🏥As the substance use disorder epidemic continues to evolve &amp; impact our communities, I secured $608M to help communities &amp; first responders address this crisis. From expanding access to treatment to supporting law enforcement, this $$ will make a real difference."
2022-12-20 21:04:08+00:00,"⚖️Record funding for Violence Against Women Act programs, which help support survivors, train officials, process rape kits, strengthen domestic violence hotlines &amp; support women’s shelters. I also secured $1.9B for the Crime Victims Fund."
2022-12-20 21:04:08+00:00,"As Chair of the CJS Appropriations Subcommittee, I helped secure many NH priorities in the final govt funding bill for FY 2023. Here are some of the highlights:🧵"
2022-12-20 19:00:01+00:00,"Renewable energy is not only a win for our environment, but it also creates jobs &amp; strengthens America’s energy independence. It’s great to see @Forest_Society's new solar array at The Rocks in Bethlehem.  
https://t.co/qwpAxfc5KD"
2022-12-20 16:42:59+00:00,"Reforms to safeguard our elections and democracy are overdue. The Electoral Count Reform and Presidential Transitions Improvement Act will strengthen our democracy for generations to come - I’m glad these essential reforms will soon be law.
https://t.co/IsphDhvOXD"
2022-12-20 15:10:16+00:00,"There has long been bipartisan support for the SIV program. It’s about honoring our promise to those who stood by us, at great risk to themselves &amp; their families. It’s not a partisan issue. It's a nat sec priority &amp; a moral prerogative."
2022-12-20 15:10:15+00:00,"NEW! The gov’t funding bill for FY23 includes an extension of the Afghan SIV program &amp; 4k more visas. While I’m frustrated partisan obstruction necessitated an eleventh-hour solution, I'm relieved that this bill will provide for our Afghan allies who served beside U.S. troops."
2022-12-19 20:59:35+00:00,I welcome the appointment of @joekennedy as the next U.S. Special Envoy to Northern Ireland. His role will be critical to ensuring peace &amp; economic prosperity in the region. The U.S. remains committed to the Belfast Good Friday Agreement ahead of its 25th anniversary in April.
