Datetime,Text
2023-01-02 22:50:30+00:00,"Unanimous Senate passage of the Childhood Cancer STAR Reauthorization Act provides certainty and critical resources to researchers, doctors, patients, and their families. ⬇️
https://t.co/HpygkAQmJL"
2023-01-01 23:27:00+00:00,Wishing all Arizonans health and happiness in this new year.
2023-01-01 07:00:01+00:00,Happy New Year! It’s the honor of a lifetime to serve as Arizona’s senior Senator. Arizonans in every corner of our state have my firm commitment to leading on the issues that matter most to everyday families. Looking forward to delivering more results for AZ in the new year. 💜 https://t.co/NKOIXX8tfU
2023-01-01 00:30:30+00:00,"Happy New Year’s Eve, Arizona! Have a safe, enjoyable time closing out 2022 tonight."
2022-12-31 16:13:03+00:00,"Our work delivering long-lasting results for AZ is far from over. Come 2023, I’m going to get up, make my coffee, and get right back to it."
2022-12-31 16:13:03+00:00,"Wait, there’s more:
✅ Shadow Wolves Enhancement Act
✅ Access to Baby Formula Act
✅ Ukraine Democracy Defense Lend-Lease Act
✅ Advanced Air Mobility Coordination and Leadership Act
✅ Bipartisan resolution erecting statues of Justices Ginsburg and O’Connor

And even more."
2022-12-31 16:13:02+00:00,"In 2022, our team helped craft, negotiate, and pass: 

✅ Bipartisan Safer Communities Act
✅ Respect for Marriage Act
✅ Chips &amp; Science Act
✅ PACT Act
✅ CAROL Act
✅ DHS Illicit Cross-Border Tunnel Defense Act
✅ Inflation Reduction Act
✅ Postal Service Reform Act"
2022-12-30 22:08:00+00:00,"Our bill to advance childhood cancer research has passed the Senate.
https://t.co/HpygkAQmJL"
2022-12-29 21:00:00+00:00,"We’re keeping Arizona strong and ready by securing defense and military investments that ensure a pay raise for Arizona servicemembers, modernize our military technologies, address PFAS contamination, and more.
https://t.co/TOkcKlcaLJ"
2022-12-28 19:03:30+00:00,The Senate has passed our bill to safeguard the peaceful transition of power and ensure the integrity of America’s elections. https://t.co/rMMlNLrBfX
2022-12-27 22:30:30+00:00,"Our nation desperately needs a solution that secures the border and ensures the fair, humane treatment of migrants who come here to seek safety for themselves and their families. Proud that our bipartisan border security and immigration proposal offers a commonsense solution. https://t.co/AtybGCXSCn"
2022-12-26 17:45:30+00:00,Wishing a Happy Kwanzaa to all Arizonans celebrating this week.
2022-12-25 21:00:00+00:00,"Team Sinema is wishing a safe and happy Christmas to our brave servicemembers and their families. From the bottom of our hearts, thank you."
2022-12-25 15:00:33+00:00,"Happy Christmas, Arizona! 🌟"
2022-12-24 21:00:01+00:00,"Savanah, you represent the best of #State48. Thank you for paying it forward. 🌵 💜
https://t.co/RPQpkhNQot"
2022-12-23 18:00:01+00:00,Antisemitism has no place in our country. Glad the President heard our calls and created a federal task force to counter and raise understanding about antisemitism and its threat to the Jewish community and all Americans. https://t.co/IdwcNL26II
2022-12-22 19:26:32+00:00,I’ll continue to work to find commonsense solutions to address the crisis at our border. https://t.co/3kKPOPviau
2022-12-22 19:26:32+00:00,Arizona and our border are facing a security and humanitarian crisis. The funds we secured in our bipartisan budget bill will increase border security resources and support border communities.
2022-12-22 16:33:42+00:00,I call on my colleagues to support my common sense amendment and help us secure our border now. 4/4
2022-12-22 16:33:42+00:00,"My amendment keeps Title 42 until a permanent plan is in place, boosts desperately needed funding for border security, invests in our border agents and officers, and helps stop the flow of dangerous drugs. 3/4"
2022-12-22 16:33:42+00:00,"I’ve made clear, the border is in crisis and Arizona is facing a security and humanitarian crisis. Enough is enough - stop using the border as a political tool. We are here to do our job. We must fund the government and we must solve our border crisis. 2/4"
2022-12-22 16:33:41+00:00,It’s pathetic Congress once again stands here at the 11th hour to fulfill its most fundamental obligation. Partisanship and tunnel vision on damaging the opposition and preventing the other side from “getting a win” has replaced thoughtful legislating. 1/4 https://t.co/4XkOdqxSca
2022-12-22 00:53:03+00:00,"I join all Americans and Arizonans in welcoming President Zelenskyy to the United States as he delivers his address to Congress.
https://t.co/8tAHVahKUl"
2022-12-22 00:53:03+00:00,"Congress continues standing by Ukraine, and I applaud our bipartisan action supporting Ukraine with the funds and resources it needs to defend itself against Russia’s illegal and unprovoked attacks."
2022-12-21 20:07:00+00:00,"Congress passed our bipartisan bill to crack down on cartels’ smuggling operations.
https://t.co/MxEOFmYW95"
2022-12-20 20:52:01+00:00,"That’s why when we come back in January, one of the first things I will do is convene a bipartisan group of Senators who are willing and committed to get stuff done and bring them to the border to see what Arizonans see everyday – because a crisis this big cannot be ignored."
2022-12-20 20:51:50+00:00,"Part of the problem is that many in Washington have never taken the time to really see our border up close, and without seeing it for all its diversity and challenges, it’s easy to rely on partisan talking points instead of focusing on meaningful solutions."
2022-12-20 20:51:26+00:00,"I stand here today disappointed that as we close out the 117th Congress, Washington has chosen to yet again retreat to partisan corners instead of doing the hard and necessary work of finding lasting solutions when it comes to the crisis at our border."
2022-12-20 20:50:00+00:00,I believe the future resilience of our country also depends on the full inclusion of millions of young people often known as Dreamers.
2022-12-20 20:49:24+00:00,"To ensure our border states’ economies continue to grow, and to ensure our nation’s economy continues to thrive for generations to come, we need a robust workforce. 

That’s why our bipartisan proposal fixes a wasteful loophole in our current employment visa system."
2022-12-20 20:48:33+00:00,"By streamlining the asylum process in a manner that respects human dignity and due process, we’ll quickly and fairly adjudicate claims and remove those who don’t have a valid claim of asylum, sending a message to all that our asylum system will not be manipulated."
2022-12-20 20:46:00+00:00,"In order to uphold the promise of protection and freedom, and ensure our asylum system works for those who it seeks to serve, we must acknowledge that the status quo is no longer functional."
2022-12-20 20:45:23+00:00,"We must supplement existing security barriers with innovative technology solutions, we must boost our border protection and patrol forces, and we must update the policies governing our border to meet the moment."
2022-12-20 20:44:33+00:00,"We understand that to secure our border, we need physical barriers where they make sense - but relying only on physical barriers represents a 17th century answer to a 21st century problem."
2022-12-20 20:43:32+00:00,"A problem as big as our broken border needs a smart, comprehensive solution, and that solution starts by investing in the brave men and women who keep our border safe."
2022-12-20 20:42:59+00:00,"That’s why I rejected the partisan echo chamber and partnered with my good friend, Senator Thom Tillis, on a bipartisan proposal to help solve some of the real problems our border communities and immigration system continue to face."
2022-12-20 20:42:42+00:00,"As someone who’s seen the challenges at our border my entire life, I know these are all false choices."
2022-12-20 20:42:12+00:00,"Some refuse to acknowledge the need for increased security measures at all, while others have a singular view of what kind of security is sufficient. 

Some want to welcome all who come to the border into our country, while others want to keep everyone out."
2022-12-20 20:41:57+00:00,"Politicians are retreating to partisan corners, instead of examining the problem for what it is - not what one party or the other wishes it was - and focusing on finding meaningful solutions."
2022-12-20 20:40:41+00:00,The City of Tucson has already accepted over 15 percent of its population just in migrant releases since April of this year.
2022-12-20 20:40:06+00:00,"In San Luis - a small community of roughly 37,000 right on the Arizona, Mexico border - the Fire Chief recently told us that three of his five ambulances are used solely to care for migrants in need, leaving only two ambulances for the local community on any given night."
2022-12-20 20:39:50+00:00,"Let me be clear: this is a humanitarian and security nightmare. 

Already, our border towns can barely keep up with the demand from the overwhelming levels of 
immigration."
