Datetime,Text
2023-01-01 22:01:15+00:00,"New year, still the Last Best Place. https://t.co/nufamLMHtU"
2023-01-01 20:26:45+00:00,"GOOD NEWS: As of today, the $35 insulin cap for seniors that we passed in the Inflation Reduction Act is now in effect.

Nobody should go broke over this life-saving drug, and I'll keep pushing until the cost of insulin is capped for everybody."
2023-01-01 16:46:16+00:00,"Happy New Year, folks!

Since my resolution last year happened to pan out, I figured I'd keep the ball rolling with another ambitious one for 2023: https://t.co/0llQrqLmMi"
2022-12-30 17:36:39+00:00,"As Chairman of the Senate Veterans’ Affairs Committee, I'm very proud of the work we did to honor the promises made to our men and women in uniform.

See how we delivered for veterans this year as we get ready to build on it in the new year 🧵⬇️"
2022-12-27 02:21:55+00:00,"As this year's Festival of Lights comes to a close, I hope Montanans who celebrate were able to spend some quality time with their families."
2022-12-25 15:28:30+00:00,"Merry Christmas, Montana! Sharla and I send you good tidings, and we hope you get to enjoy some time with your loved ones today. Stay safe and be well. https://t.co/eI8Y3Lm392"
2022-12-24 17:29:06+00:00,"Was looking through some old photos and found one from before I traded in the b-flat 🎺 for the flattop.

Merry Christmas Eve, everybody 🎄 https://t.co/BAAmy8WFqv"
2022-12-23 23:45:59+00:00,"With a full budget done and our national security protected, it's time to gear up for the next Congress.

I was proud to work alongside Montanans to deliver big wins for our state in 2022, and I'm ready to build on this progress in 2023. https://t.co/Dx3EPrL5GT"
2022-12-23 22:13:42+00:00,Wishing everyone a warm and safe Christmas and holiday season. We are spending Christmas with our daughter and son in law and grandkids. Warming up the house with lots of holiday baking today. Such fun and joy! - Sharla https://t.co/yjuRDcsQKz
2022-12-23 21:39:24+00:00,I’ve always said Schatz is one of the smarter people I’ve served with.
2022-12-23 21:12:39+00:00,"I broke with all of my Democratic colleagues to vote against this burdensome reporting requirement from going into effect, and I'll continue standing up to my own party when they are wrong. Plain and simple."
2022-12-23 21:12:38+00:00,"This is a big win. I repeatedly raised concerns with the IRS on behalf of Montanans and Montana's small businesses, and I'm glad to see they're listening. The IRS should be focused on holding millionaires and massive corporations accountable—end of story.
https://t.co/36JA5OBwdP"
2022-12-22 22:08:22+00:00,Here's how the federal budget the Senate passed today will deliver for Montana: https://t.co/AjkLYoUFNO
2022-12-22 21:56:51+00:00,"Good on you, @SenShelby! It was an honor to work closely with you for years on the Senate Appropriations Committee, and I have a deep respect for the way you set partisan politics aside to move your state, our military, and this country forward. Wishing you well in retirement."
2022-12-22 20:55:15+00:00,"Flathead Folks: Your electric co-op needs your help reducing demand on the system as they work to restore a delivery point that went down.

It's dangerously cold out there, and we've got to look out for each other. Follow their suggestions below for reducing unnecessary use ⬇️"
2022-12-22 20:51:49+00:00,UPDATE: My effort with @lisamurkowski to right a wrong and get these Montana counties the resources they need passed again as part of the must-pass federal budget package. We're making sure this gets done.
2022-12-22 19:20:44+00:00,"BREAKING: The Senate has finally passed a full federal budget—giving our armed forces the certainty needed to keep America safe.

This legislation maintains our military's edge, provides for our veterans, and strengthens rural America. I'm confident it will deliver for Montana."
2022-12-22 18:50:53+00:00,"We need to stop fentanyl from coming across our borders. My bills—soon to be laws—will target fentanyl trafficking at the source so we can stop this illicit drug from devastating Montana's communities.
https://t.co/8W5dDatO8Q"
2022-12-22 16:53:00+00:00,@elonmusk @SenatorSinema Absolutely and there is money in our amendment to secure the southern border. Senator Lee’s amendment included zero dollars for border security. Ours included more than $8 billion for things like physical barriers and tech.
2022-12-22 16:40:24+00:00,@elonmusk @SenatorSinema That claim is false. Our amendment was a good-faith effort to take proposals that both Democrats and Republicans claim they support. Both parties have failed to secure our southern border and fix our broken immigration system. We need to get serious about solving this problem.
2022-12-21 22:57:23+00:00,"In just the last few days, we've worked to move Montana forward with targeted investments in:

🏘️ Helena's housing
🚰 Simms' water system
🛣️ Kalispell's roads and bridges
🖥️ High-speed internet statewide
🏪 And economic development in Ronan, Browning, Great Falls, and Missoula"
2022-12-21 20:54:31+00:00,"A major Montana win in the 2023 budget package: $916 million for Yellowstone National Park to recover from this summer's historic flooding.

I fought to get this and more opportunities for small business relief in the bill, and I'll keep fighting to get it over the finish line."
2022-12-21 17:17:35+00:00,"I've spent the last year taking input from Montanans and military leaders to craft a government funding bill that invests in rural America and boosts our national security.

This bill will strengthen our country and make us safer. We need to get it passed. https://t.co/LG7exm7oWm"
2022-12-21 16:12:11+00:00,"With this $25M investment in Kalispell, we're going to:

✅ Widen the West Reserve Road
✅ Widen Stillwater Bridge
✅ Upgrade Hutton Ranch Road
✅ Revamp Whitefish Stage Road
✅ Improve pedestrian and cyclist safety
✅ And create good-paying Montana jobs
https://t.co/WJqD3dgZge"
