Datetime,Text
2023-01-02 22:12:51+00:00,This trend can be reversed if we make the right investments in our security. #WickerReport
2023-01-02 22:12:50+00:00,"Years of underinvestment have severely hurt our military readiness and ability to prevent conflict. As a result, China has grown more aggressive and the world has become more dangerous. 
 https://t.co/Z67juFEltG"
2023-01-01 16:15:00+00:00,Happy New Year! https://t.co/ogyiHdKBSE
2022-12-30 23:15:00+00:00,Our military is not ready to deter a two-front war. The best thing we can do is build up our force and strive for “peace through strength.” https://t.co/IpBlJqXEIP
2022-12-30 19:18:26+00:00,Projects like these are the primary reason I have made supporting infrastructure one of my top priorities in Congress.
2022-12-30 19:18:26+00:00,"This grant funding will have a lasting effect for people and businesses all along the Gulf Coast. Widening I-10 from four to six lanes will help to remove a major bottleneck and reduce delays, while additional improvements along the route will help keep all drivers safer."
2022-12-30 19:18:25+00:00,"Great news for Mississippians who live along the I-10 corridor - @USDOT is awarding $60M in bipartisan infrastructure law funding to widen I-10 between Long Beach and Diamondhead. 
https://t.co/O451ZkxGnZ"
2022-12-30 15:45:00+00:00,"This year’s NDAA ended @POTUS’ unnecessary vaccine mandate, and I was glad to vote for it. Republicans fought for months secure this victory."
2022-12-29 22:30:00+00:00,"On the ground, in the sea, and in the air, we need a strong national defense to protect our national interests. https://t.co/ROH4MKOE5F"
2022-12-29 15:30:00+00:00,"Congress needs to roll back special carve-outs for Big Tech, as I sought to do with legislation when I led @SenateCommerce. #WickerReport  

https://t.co/FL9gEjxn5Q"
2022-12-29 00:00:31+00:00,"Congress has an obligation to act on behalf of the American people and bring transparency and accountability to public platforms. #WickerReport   

https://t.co/hOjKMHNThl"
2022-12-28 19:15:00+00:00,"It was great to see DDG-125 #USSJackLucas underway for the first time earlier this month. These ships are essential to our fleet. 

https://t.co/botw5h7doT"
2022-12-28 15:30:00+00:00,"We live in a big country where people hold a wide range of views and convictions. This diversity makes it all the more vital that we protect free speech. #WickerReport

 https://t.co/nBcyym6EN3"
