Datetime,Text
2023-01-01 20:51:17+00:00,"Happy New Year, Montana! May 2023 be filled with health and happiness for you and your family."
2022-12-31 16:57:26+00:00,Looking forward to another year spent fighting for Montanans. https://t.co/9KDk09gWBp
2022-12-30 16:03:35+00:00,@ChuckGrassley and Barbara are the best.
2022-12-29 20:53:37+00:00,The Democrats have spent their way into sky-high inflation and left Montanans with the tab.
2022-12-27 21:49:22+00:00,"Glad to see SCOTUS keep this commonsense border policy in place for now, but we need long term solutions for the crisis @JoeBiden has created on our southern border. We must secure our border for the sake of Montana families and communities. 
https://t.co/16Zg6ytSsC"
2022-12-26 18:39:12+00:00,"As @JoeBiden and the Democrats continue to ignore the open southern border, the crisis they created continues to get worse.
https://t.co/E4dk6POwAR"
2022-12-25 14:36:28+00:00,"From the Daines family to yours—Merry Christmas, Montana! https://t.co/eGMStxWn7d"
2022-12-23 17:51:44+00:00,"Working on behalf of Montanans in the United States Senate is a great honor.

In the new year, I’ll keep fighting to protect our Montana way of life. https://t.co/bz3EWYqof7"
2022-12-22 19:29:35+00:00,"I voted NO on a 4,000+ page, $1.7 TRILLION spending package. The Dems' inflation crisis is a runaway train — while Montanans are struggling to pay for gas &amp; groceries, I can’t support more big government spending.

MTns deserve better than Washington's broken budget process."
2022-12-22 16:15:55+00:00,"We need to fix Congress’ broken budget process, not fuel the federal spending insanity."
2022-12-21 16:55:40+00:00,"The far-Left's pursuit of an anti-American energy agenda is costing Montanans this winter. 

Since @JoeBiden has taken office, energy costs are up nearly 50% for most Montana families."
2022-12-21 01:06:56+00:00,"This bill to promote public safety would have been well positioned to pass had it gone through the regular committee process—as I called for more than a year ago. Our small businesses, law enforcement and communities deserve better. https://t.co/oSrw4IYiJt"
2022-12-21 01:06:54+00:00,The failure to pass my bipartisan SAFE Banking Act means communities in Montana and across our country will remain vulnerable to crime where legal businesses are forced to operate in all-cash.
2022-12-20 18:22:19+00:00,.@JoeBiden and the Dems’ inflation crisis is hitting Montanans hard this holiday season. https://t.co/BevCJYSxZZ
2022-12-19 21:13:17+00:00,"After dedicating their lives to serving our communities, MT’s heroic first responders shouldn’t be targeted by the IRS.

Hear from Billings Police Officer Ladd Paulson &amp; his wife Heidi on how my bipartisan bill will protect injured first responders from burdensome taxes &amp; audits. https://t.co/JDlqwhEf5W"
2022-12-19 18:01:44+00:00,"Under @JoeBiden... 

Over 5 million illegal migrants have crossed the wide-open southern border.

Our communities have become less safe. 

Fentanyl use and drug overdoses have skyrocketed.

This crisis is turning into a catastrophe."
2022-12-18 22:17:00+00:00,"Happy Chanukah to all those celebrating in Montana and across the world. May this season bring you peace, joy, and blessings."
2022-12-18 20:42:28+00:00,Always great to have more Montanans in our nation’s capital. Thanks for visiting! https://t.co/78vbGKlgUB
2022-12-17 19:34:03+00:00,"We have the resources for energy dominance, but lack the leadership — @JoeBiden refuses to unleash American energy."
2022-12-17 00:59:56+00:00,#GoCats!
2022-12-16 20:48:11+00:00,"I'm fighting to pass my bipartisan bills to ensure our health care workers have the tools &amp; resources they need to serve Montanans struggling with their mental health.

Vincent, from Bozeman, shared his own mental health story with me. Listen here: https://t.co/kXZYZFMyNc"
2022-12-16 01:17:02+00:00,Glad to fight for Montana’s brave men &amp; women in uniform and support our national security. https://t.co/6CBf0rPnTl
2022-12-15 22:48:47+00:00,Glad to be recognized by @USCleanPower as a 2022 Clean Power champion for my work toward building an all-of-the-above American energy portfolio. https://t.co/G5vN630Uq9
2022-12-15 19:35:44+00:00,Glad to work with my colleagues to end @JoeBiden’s overreaching vaccine mandate for Montana servicemembers. https://t.co/oKKHitqPG2
2022-12-15 18:36:36+00:00,.@JoeBiden &amp; the Democrats' war on American energy is leaving Montanans' pockets emptier and homes colder this winter.
2022-12-14 17:02:43+00:00,"With inflation at 8.3% in Mountain states, #Bidenflation is hitting Montanans especially hard."
2022-12-14 14:09:15+00:00,"For the last 75 years, Big Mountain has helped folks experience the beauty of Montana and enjoy our outdoor way of life that makes it the Last Best Place – happy birthday, @SkiWhitefish! https://t.co/7JbvgTxUg9"
2022-12-14 02:00:28+00:00,"The #BidenBorderCrisis just keeps getting worse. 
https://t.co/P2Si9p5TSt"
2022-12-13 22:16:30+00:00,This Christmas I’m happy to team up with @USMC to spread some holiday cheer to children across America through @ToysForTots_USA! https://t.co/ByvfMuTpLs
2022-12-13 16:33:53+00:00,"Grateful to receive the Friend of Farm Bureau award from the @FarmBureau — I will always support the hardworking Montana farmers and ranchers who feed not only our great state and nation, but the entire world. https://t.co/PXBkQYpZiQ"
2022-12-13 15:09:59+00:00,"Inflation is up over 7% from this time last year — nearly 14% from when @JoeBiden took office. 

Biden and the Democrats continue to double down on their reckless spending agenda that is breaking the bank for Montanans and Americans across the country."
2022-12-12 20:20:45+00:00,"My bipartisan SAFE Banking Act is about public safety. 

Let’s get it done. https://t.co/yFNJqK2bKd"
2022-12-12 16:45:46+00:00,"As prices continue to outpace wages, Montana families and Main Street businesses will have a hard time celebrating this year."
2022-12-10 15:36:01+00:00,GO CATS!!
2022-12-09 20:09:09+00:00,"The Democrats’ reckless spending agenda is costing Montanans.
https://t.co/4t4KBFQAHr"
2022-12-08 21:45:08+00:00,William &amp; Mary sounds more like fine dinnerware.  GO CATS! https://t.co/jhUN2OTgg1
2022-12-08 21:14:16+00:00,"Under @JoeBiden and the Democrats, Montanans are paying more for everything from gas to groceries to rent. The reckless spending of taxpayer dollars has to end."
2022-12-08 17:11:40+00:00,Great to catch up with @BozemanFire Chief Waldo and Chiefs Horton and Neimeyer of @Western_Fire today. I’m grateful for the MT firefighters that put their lives on the line to protect our families and communities. https://t.co/e3wNXnqEEl
2022-12-08 14:44:28+00:00,"Every parent’s worst nightmare — these stories are devastating. Praying for all the Montana families impacted by the fentanyl crisis. We must do everything we can to curb this epidemic.
https://t.co/1rUqYGQ8OT"
2022-12-07 20:51:25+00:00,Great catching up with Brian and Hannah from @PERCtweets to talk about the importance of protecting our public lands and increasing commonsense forest management. https://t.co/LCjE49fBnh
2022-12-07 18:57:04+00:00,"Five million illegal crossings since @JoeBiden took office. 

Ignoring this crisis won't make it go away--it only threatens our national security and makes our local communities unsafe."
2022-12-07 16:41:31+00:00,"At every turn, @JoeBiden and the Democrats want to get rid of oil, gas and coal.

Their green hallucination isn't sustainable—it's nonsense."
2022-12-07 14:47:28+00:00,"Today we remember those who paid the ultimate price for our freedom on that fateful day 81 years ago. 

Let us never forget the service and sacrifice of all those who served in WWII. #PearlHarborRemembranceDay 🇺🇸"
2022-12-07 03:35:34+00:00,This is a BIG win for our nation’s brave servicemembers 🇺🇸
2022-12-06 17:21:07+00:00,"We need @HerschelWalker in the U.S. Senate to help fight back against Biden’s radical agenda. If you live in Georgia, get out and VOTE!"
2022-12-06 17:09:16+00:00,It’s #NationalMinersDay! Thank you to all Montana miners who work hard to power MT and supply our nation with critical minerals. Our national security and economy depend on you!
2022-12-06 15:03:36+00:00,You can’t have a secure nation without a secure border.
2022-12-05 22:56:34+00:00,Honored to receive the 2022 Congressional Leadership Award from the @TheNJCA for my work on behalf of Montana Job Corps — a critical program that helps prepare young Montanans for their future. https://t.co/EuF9xQ9a6m
2022-12-05 22:05:05+00:00,"Exciting news for Lewistown, Montana–the latest town to be designated as a World War II Heritage City by the @NatlParkService.

https://t.co/6u6K6qfv8C"
2022-12-05 15:25:17+00:00,"Numbers don’t lie — families in MT are facing the highest inflation rates in the US, with prices today nearly 17% higher than they were when @JoeBiden took office.

Montanans can’t afford the Democrats’ reckless policies and agenda."
2022-12-05 00:09:49+00:00,"Sonny was a @montanastate Bobcat legend. He will always be remembered as “the greatest Bobcat!”
https://t.co/SHjMdfUonA"
2022-12-04 23:28:11+00:00,"To help keep fentanyl out of MT communities, we must secure @JoeBiden’s open border. https://t.co/HxDBjleuBv"
2022-12-03 18:37:32+00:00,"The cost of @JoeBiden and the Democrats’ reckless spending is high for Montanans — and it will only continue to get worse.
https://t.co/LrRfH1IPMt"
2022-12-02 17:07:08+00:00,"We need to be doing everything we can to support Montana moms and their babies — that includes expanding research and raising awareness of the tragic risk of stillbirth. 

Hear from the Deschamps family out of Columbia Falls about their daughter Harlow’s story. https://t.co/0c30dlQdaP"
2022-12-02 16:43:46+00:00,Thank you to the brave wildland firefighters &amp; first responders across our country who protect our communities from devastating wildfires. Glad to team up with @SenFeinstein to pass a bipartisan resolution in the U.S. Senate recognizing their heroism.
2022-12-02 16:09:03+00:00,The New Market Tax Credit has helped support small businesses across Montana. It’s time we make it permanent. https://t.co/tpGkXZM9a6
2022-12-01 21:30:26+00:00,"Thanks to the Montana Job Corps program, Franklin and Leroy have a bright future ahead! https://t.co/CgpW8ewuu2"
2022-12-01 16:44:20+00:00,"Judges across the country have made themselves clear. @JoeBiden’s student loan bailout scam is not just unfair, it’s unconstitutional, and it’s not going to happen.
https://t.co/MY3WN3q5cw"
2022-12-01 15:27:53+00:00,"Democrats say they support small business, but actions speak louder than words — thanks to #Bidenflation, over 40% of small business owners said they couldn’t pay rent on time or in full for the month of November."
2022-11-30 18:36:15+00:00,"Thrilled to meet with MT’s 2023 Teacher of the Year today—Catherine Matthews, a rockstar teacher from Hyalite Elementary in Bozeman!  

As a proud Bozeman public school alum myself, I’m thankful for teachers like Ms. Matthews that make a lasting impact on MT’s next generation. https://t.co/WJoZMkPbjn"
2022-11-29 18:59:45+00:00,"#MontanaProud 
https://t.co/t2RWRJjKfF"
2022-11-29 16:37:58+00:00,"Prices have skyrocketed nearly 14% since @JoeBiden took office. Why? @JoeBiden and the Democrats' relentless reckless spending sprees.

The Left’s agenda is bad for Montana."
2022-11-28 20:12:13+00:00,⬇️
2022-11-28 17:05:26+00:00,".@JoeBiden’s backward southern border policies have devastating consequences.
https://t.co/EzqsIivX5I"
2022-11-26 19:31:58+00:00,".@JoeBiden would rather increase oil revenues for a foreign adversary than unleash American energy.
https://t.co/Pj9oqhunx4"
2022-11-26 17:48:33+00:00,"Montana small businesses are the lifeline of our local communities. This #SmallBusinessSaturday, and every day, I hope you’ll join me and support the small businesses that make Montana such a special place to live. https://t.co/ybJ9Axhr1Z"
2022-11-26 00:33:30+00:00,"Thanks to @JoeBiden’s inflation crisis, this holiday season will feel a bit different.

The high price of everything from gas to groceries will make it harder for families to gather together and celebrate."
2022-11-24 15:45:58+00:00,"Beyond thankful for my family, our great state and the opportunity to serve Montanans. 

Happy Thanksgiving, Montana!"
2022-11-23 15:23:27+00:00,"Forever thankful for Montana. 
https://t.co/fRBQf4Ppdk"
2022-11-22 21:04:24+00:00,.@JoeBiden’s refusal to secure the southern border is dangerous — it’s a threat to our national security and our Montana way of life.
2022-11-22 00:21:39+00:00,#Bidenflation is breaking the bank for families across Montana this Thanksgiving season. https://t.co/jxv6vC7XvA
2022-11-21 18:15:58+00:00,"Montana’s treatment courts empower people to reclaim their future from addiction. 

I’m glad to support such an impactful program for Montanans. https://t.co/mZX9tY9JyM"
2022-11-19 21:18:28+00:00,#GoCatsGo https://t.co/XfWWsXh4YR
2022-11-19 19:16:23+00:00,It’s a great day to watch the Cats beat the Griz! Brawl of the Wild is off to a good start. #GOCATS https://t.co/cFTqa4FmYT
2022-11-18 22:15:49+00:00,It’s that time of year again. Sorry dad—#GoCats!
2022-11-18 15:36:44+00:00,#GoCats
2022-11-18 00:29:34+00:00,"Saddened to hear of the loss of a Montana veteran this morning at Fort Harrison. Too many Montana heroes struggle with mental health issues when they return home. 

We must ensure they have the resources they need. You’re never alone—call 988 for help."
2022-11-17 20:58:10+00:00,"While I’m a proud @montanastate Bobcat, I was glad to meet with faculty from @umontana today. Looking forward to Brawl of the Wild this weekend! https://t.co/78dSAX12Pq"
2022-11-17 17:54:06+00:00,"Congratulations to this year's winners of the U.S. Constitution Contest! #MontanaProud
https://t.co/ZLk9z4Cj76"
2022-11-17 16:51:30+00:00,Stephen Hagan &amp; Roger Hagan came all the way here from Great Falls on behalf of the Enlisted Association of the National Guard of the United States. We had a productive conversation about what we need to do to help improve benefits for Montana National Guardsmen. https://t.co/AEvQnONTHz
2022-11-16 23:03:30+00:00,Great meeting with the Montana Electric Cooperatives' Association today to talk about how to best support made in America and made in Montana energy. These folks are hard at work to keep the lights on all winter long. https://t.co/BzuqoeEcaw
2022-11-16 21:04:21+00:00,Honored to be elected by my Senate Republican colleagues to serve as NRSC Chairman for the 2024 cycle. I plan to hit the ground running and work toward securing a lasting Republican Senate majority. https://t.co/RtDBI7jRCs
2022-11-16 01:12:08+00:00,"Insanity—a DC judge has just struck down one of the last remaining tools used to curb the out of control border crisis. 

An open southern border is a direct threat to Montana families—@JoeBiden must step up and secure our southern border. 
https://t.co/iCjllPgkPv"
2022-11-15 18:19:39+00:00,Happy National #ApprenticeshipWeek! Apprenticeships extend opportunities for good paying jobs and help build a highly skilled work force. I’m grateful for our apprenticeship programs across the state that help keep MT open for business.
2022-11-14 17:01:18+00:00,We have the receipts. @JoeBiden and the Democrats’ inflation crisis is still breaking the bank for Montana families. https://t.co/JSjyUzeFOF
2022-11-13 16:41:52+00:00,Go CATS!
2022-11-13 16:28:36+00:00,"Good choice, @CollegeGameDay! #GOCATS https://t.co/L1llkAxmCR"
2022-11-12 18:48:58+00:00,👀 #GoCats
2022-11-11 19:03:31+00:00,"Honored to spend #VeteransDay with MT heroes in Great Falls.

Because of their service, the United States stands as a beacon of hope around the world, and the American flag is recognized by people everywhere as the symbol of freedom.

God bless our veterans. God bless America. 🇺🇸 https://t.co/mdyCKLYlyj"
2022-11-11 14:56:39+00:00,"Montana is proud to be home to so many American heroes. This Veteran’s Day, let us remember the sacrifices that the brave men &amp; women who wear the uniform make every day to protect our freedoms.🇺🇸 https://t.co/PcydBglano"
2022-11-11 02:12:10+00:00,About time. @JoeBiden’s unfair student loan bailout benefits the elite at the cost of hard working Montanans. No Montanan should have to pay someone else’s debts. https://t.co/1icFLkvh2x
2022-11-10 20:57:24+00:00,"I'll be watching the @MSUBobcats take on the @UMGRIZZLIES in the best college rivalry game in the nation—the Brawl of the Wild.

Will you, @CollegeGameDay? GO CATS! #GamedayinBozeman https://t.co/CdHyiECoVU"
2022-11-10 19:22:33+00:00,Today we celebrate 247 years of the @USMC &amp; their steadfast dedication to defending our freedoms. From the proud son of a United States Marine--happy birthday! #SemperFi
2022-11-10 15:56:13+00:00,"Prices remain sky high for Montana families because of @JoeBiden and the Democrats’ inflation crisis.
https://t.co/g9S42P1242"
2022-11-10 14:17:41+00:00,"From his time as a Navy SEAL, to representing MT in the U.S. House, to serving in the Trump admin, @RyanZinke has served our nation selflessly.

I look forward to working together on behalf of MT once again in Congress as you serve Montana’s First Congressional District. 🇺🇸"
2022-11-09 13:51:56+00:00,"Eastern MT is sending Matt Rosendale back to the U.S. House of Representatives!

@MattForMontana will continue to be a voice for Montanans, stand up against the far-Left &amp; protect our MT way of life.

I look forward to continuing our work together to keep Montana, Montana!"
2022-11-08 18:59:27+00:00,Montana — today’s the day. Get out and VOTE!
2022-11-08 18:12:20+00:00,Lucky to call Montana home. Happy 133rd birthday to the greatest state in the greatest country in the world—Montana! https://t.co/OlCQUda38y
2022-11-08 06:07:32+00:00,Vote for Republican James Brown for Montana Supreme Court! 🇺🇸
2022-11-07 22:26:15+00:00,"Washington, DC needs a new mom in town—Washington State, it’s time to send @SmileyForWA to the U.S. Senate!🇺🇸"
2022-11-07 19:36:38+00:00,"Tomorrow’s the day Montana! Let’s show @JoeBiden and the Democrats how Montanans feel about the Left’s broken &amp; backwards political agenda by sending @MattForMontana and @RyanZinke back to Washington, DC! 🇺🇸"
2022-11-07 16:04:31+00:00,"While @JoeBiden continues to double down on his stance against traditional made in America energy production, Americans continue to pay the price while filling up their gas tanks and heating their homes. 
https://t.co/tRjQVCk17d"
2022-11-07 00:46:38+00:00,"Folks in Nevada are ready to send @AdamLaxalt to the United States Senate! 

We need him in the fight against @JoeBiden &amp; the Democrats’ radical agenda that’s threatening our Western way of life. Get out and vote, Nevada! 🇺🇸"
2022-11-05 19:18:52+00:00,https://t.co/ERxbHjMtx9
2022-11-04 17:19:12+00:00,"Thank you to Helena Firefighter Christopher Mork for going above and beyond to keep Montanans safe! #MontanaProud
https://t.co/b7mZCzv1SL"
2022-11-04 00:22:53+00:00,"Greg is spot on. As a Montana Supreme Court Justice, Republican James Brown will protect our Montana way of life, small businesses and families. He will uphold the law, won’t legislate from the bench and will safeguard our liberties.

Join me in voting for him this election."
2022-11-03 21:23:01+00:00,"Thanks to @JoeBiden and the Democrats’ inflation crisis, Montana families will spend an average of $9,881 more by the end of 2022."
2022-11-03 15:52:20+00:00,.@JoeBiden and the Democrats’ radical policies are failing Montanans. https://t.co/SxR8w5RBTd
2022-11-02 18:49:44+00:00,"Halloween may be over, but spooky season continues under @JoeBiden and the Democrats. 

ICYMI—read my latest op-ed about this Administration’s policies that will be haunting Montanans for years to come. 
https://t.co/UXzN6ZY51h"
2022-11-02 16:04:01+00:00,"As the son of a United States Marine, I know the sacrifices military families are asked to make.

This Military Family Appreciation Month, let us honor the Montana families supporting our brave men and women in uniform. 🇺🇸"
2022-11-01 19:50:47+00:00,"Montana is blessed to have a rich history of service and is home to so many American heroes. 

This Veterans Small Business Week, I hope you’ll join me supporting the veteran run businesses that add so much to our communities."
2022-11-01 18:06:06+00:00,Montanans can’t afford @JoeBiden and the Democrats’ disastrous anti-American energy policies. https://t.co/MBPJnMzGlp
2022-11-01 00:00:45+00:00,"More taxes on American energy producers means higher prices at the pump for Americans — it’s that simple. 
https://t.co/sC49Hpy1Og"
2022-10-31 21:59:05+00:00,Staffing shortages and service delays at the Bozeman Post Office risk disenfranchising Montana voters in the upcoming election. https://t.co/RNrfytMfFJ
2022-10-31 18:09:39+00:00,"All tricks, no treats — @JoeBiden &amp; the Democrats’ America is frightening.
https://t.co/UXzN6ZY51h"
2022-10-30 21:02:01+00:00,.@JoeBiden &amp; the Democrats’ policies are haunting Montanans. https://t.co/VbfE9DpHrY
2022-10-29 20:52:12+00:00,"Great news — @YellowstoneNPS’s north entrance and the road to Mammoth Hot Springs will open Tuesday! 

Another exciting milestone in flood recovery that demonstrates the strength and resolve of Montanans and our local communities.
https://t.co/56AvDGp2dn"
2022-10-29 00:55:07+00:00,"Folks in Western Montana are fired UP and ready to send Ryan Zinke back to Washington, DC to protect our Montana values in Congress. 

RED WAVE — here we come! https://t.co/wNRXUAbmyN"
2022-10-28 21:58:09+00:00,".@JoeBiden isn’t fooling anyone--Montanans know that his war on made in America energy is causing price hikes at the pump and breaking the bank.
https://t.co/R6WbOkVNHR"
2022-10-28 20:02:15+00:00,"Treatment Courts are saving Montanans’ lives, reuniting families and making recovery a reality for Montanans struggling with substance abuse. Glad to be with graduates from Bozeman Treatment Court today to wish them a big congratulations! https://t.co/cmYCVIupVm"
