Datetime,Text
2022-12-27 20:22:14+00:00,"@ValerieRoss14 Respectfully, I believe considering the “type of resident who might do a certain thing that bothers others,” ie make noise, should make folks who know history of post Jim Crow zoning laws a bit nervous. And whether CEQA was written to cover “student noise.”"
2022-12-26 18:32:06+00:00,There is nothing progressive about a law that prevents student housing because students might make noise. It is literally “get off my lawn” with the veneer of conservation.
2022-12-26 02:26:41+00:00,Ja Morant is already top ten most fun to watch ever.
2022-12-25 08:27:10+00:00,@CindyWinkler @MaxGlick By fighting against any changes is zoning regulations.
2022-12-25 07:02:38+00:00,@BadHarlz @MaxGlick I am for housing in my neighborhood.
2022-12-25 03:18:02+00:00,@sabrina4575 @AndrewSolender jalapeños
2022-12-25 03:03:17+00:00,@DestinyDreadful I don’t Spotify I just listen to old stuff and whatever my kids show me.
2022-12-25 03:02:46+00:00,@LeviFetterman I feel like your human should be in charge of that and also fyi there’s some sort of doggy parade every year in the Senate so you’re  gonna meet a bunch of doggos if you want.
2022-12-25 03:01:48+00:00,@Namelotsonumbe1 Cash
2022-12-25 03:00:41+00:00,@JasonChupick No
2022-12-25 03:00:16+00:00,@YahWellBut I don’t know anything about this
2022-12-25 03:00:05+00:00,@barefoot_kicker I’ve only been to EWR but I’m sure it’s great @CoryBooker
2022-12-25 02:59:42+00:00,"@PoviThan ICWA, Carcieri, water, economic development, language, education, the legacy of the boarding schools, as a start."
2022-12-25 02:58:52+00:00,@DillonLivae They certainly need more money but even with 600 million in additional state funds if they cannot get the per unit cost down it will scarcely make a dent in the wait list. So density is key and using govt money for infrastructure is a highly leveraged way to make a bigger impact
2022-12-25 02:57:47+00:00,"@HawaiiDelilah It all costs money and they haven’t nailed the science/best practices  yet but suffice it to say it’s going to be nature based solutions, replenishing when necessary, and hardening for some limited scenarios."
2022-12-25 02:51:15+00:00,@MikeInacay You are gonna get me cancelled and I’m gonna have to move to substack.
2022-12-25 02:49:33+00:00,@sahilkapur @MikeInacay This is a hard no
2022-12-25 02:46:27+00:00,@HenryHill1 @AndrewSolender I don’t eat anything fancy around the Hill TBH
2022-12-24 23:11:20+00:00,"@EMC_Maine @bhaviklathia @MikeInacay I am, I hate getting names wrong."
2022-12-24 23:06:59+00:00,@bhaviklathia @MikeInacay I denounce myself.
2022-12-24 22:49:59+00:00,@AndrewSolender I eat a grilled cheese at least twice a week.
2022-12-24 22:49:39+00:00,@mocowan I miss you Mo!
2022-12-24 22:45:09+00:00,@zztype Update it’s 4.54 in Kalihi - just drove by.
2022-12-24 19:19:27+00:00,@MikeInacay @EmExAstris Let’s discuss in the new year!
2022-12-24 18:46:32+00:00,@exist_you Probably but I need to get briefed on the particulars.
2022-12-24 18:44:30+00:00,@DillonAncheta @Zippys Shoyu/slippers/kachi mochi/yes/oxtail/love
2022-12-24 18:36:16+00:00,@DavidPepper Why won’t they even throw the ball at Jamar Chase don’t they know I’m in my fantasy playoffs?
2022-12-24 07:13:08+00:00,@zuttermeister Once
2022-12-24 07:08:05+00:00,@jan_itsallgoode Sandys and yes
2022-12-24 07:06:58+00:00,@the_devik Of course
2022-12-24 07:03:57+00:00,@KristiCCoulter With R house it’s not going to codified until we win both chambers again .
2022-12-24 07:03:30+00:00,"@isilanorien Lisa, Susan, Mitt, Tillis, Cassidy, Thune, Young - there are several that I like."
2022-12-24 07:01:42+00:00,@HoustonKeene Wolverine
2022-12-24 07:00:54+00:00,@3fecta No one takes the Pro Bowl seriously although we are always happy to host football.
2022-12-24 06:59:51+00:00,"@AnthonyMKreis Brie, cheddar, pecorino"
2022-12-24 06:57:28+00:00,@mattlindner Is this controversial? I think it’s fine.
2022-12-24 06:57:10+00:00,@RRapier I remember that meeting hope you are well.
2022-12-24 06:56:31+00:00,@_BenLeonard_ I imagine the next extenders package is an ideal time for that.
2022-12-24 06:53:00+00:00,@DanaHoule Without any staff fewer than five. Lots of members draft their own stuff and put them through a review process. I think it’s likely only me and grassley and Murphy and Booker who actually control the account. But I have t asked a single member so I’m guessing.
2022-12-24 06:12:16+00:00,@Christi60702693 Yes the office of state planning is point on this but we are all working together on climate adaptation. On Maui we are starting our first coastal Highway realignment.
2022-12-24 06:11:02+00:00,@drvolts Dude I’m a politician
2022-12-24 06:10:48+00:00,@AlbenBarkleyFan anchovies
2022-12-24 06:10:30+00:00,@Gemma__RN Honestly it barely matters. I would pick the “shoulder season” just for price.
2022-12-24 06:09:31+00:00,"@JonathanEby People can do whatever they want. But I want to make non car transportation as easy as possible don’t treat cars like they matter more than people. like, I am sometimes a driver, sometimes a biker, sometimes a pedestrian so the point is to just have a system that makes sense."
2022-12-24 06:06:57+00:00,@JeremyKossen 1) we are entitled to federal funds like every other state 2) 🤔
2022-12-24 06:05:20+00:00,@etamny I think there is more decency and normalcy than you might think but the stuff that you see that looks like fascism is every bit as bad as it looks.
2022-12-24 06:04:36+00:00,@jmart The stuff that went small nonprofits that have never received federal funding before  is a big deal to me.
2022-12-24 06:02:28+00:00,@TCurry_Himself There’s still Geothermal power but it was extremely controversial and has not expanded.
2022-12-24 06:01:59+00:00,@marcaross No
2022-12-24 06:01:49+00:00,"@AlexaGagosz I defer to the Governor on this kind of thing. I know he’s meeting w his team and weighing options, and I trust his judgement."
2022-12-24 06:00:59+00:00,@atima_omara Zero with a Republican house .
2022-12-24 06:00:43+00:00,@shawnjvandiver Absolutely this was one of the biggest disappointments of the whole congress.
2022-12-24 06:00:22+00:00,@JTasTasTas No but will look for it
2022-12-24 06:00:09+00:00,@JoshGoFTW Not for it. Congress needs institutional knowledge to prevent the lobbyists from running the place.
2022-12-24 05:59:18+00:00,@itsafronomics Do whatever you want!
2022-12-24 05:59:09+00:00,@CleanAirMoms NY
2022-12-24 05:59:03+00:00,"@nayyeroar Just read the label it’s all there they are required to put the percent hawaii coffee. If you want 100 percent look for it, and also all islands have coffee. Kona is great, but there’s excellent Ka’u, Oahu, Maui, and Kauai coffee."
2022-12-24 05:57:44+00:00,@KWilsonMG @mikemckinnon Raw fish. No jello but thank you.
2022-12-24 05:57:23+00:00,@aileenburns Oxtail
2022-12-24 05:56:39+00:00,@tripgabriel Confirm a ton of judges. Subpoena people without  Republican approval .
2022-12-24 05:54:11+00:00,@marcelhonore I think any big picture Ala Wai protection and watershed management plan should include ecosystem restoration. It has to be applied for separately from flood control. That’s something we are changing in the law but meantime we need a local sponsor for ecosystem restoration.
2022-12-24 03:16:35+00:00,@ArmandDoma @MaxGlick I might do that
2022-12-23 21:05:26+00:00,Ok landing soon. Love you all. Happy Holidays. @MikeInacay sorry you can relax now.
2022-12-23 21:01:37+00:00,@danielwmatin Working w Lisa Murkowski and adding another D and getting whatever we didn’t get done this congress completed early.
2022-12-23 21:00:48+00:00,"@zztype I do think it will drop but it’s brutal I know. And honestly there is not that much an individual legislator can do on that since we are in the Asia market, so the price is stuck too high."
2022-12-23 20:59:20+00:00,@UROCKlive1 Booker just kidding
2022-12-23 20:59:09+00:00,@ShawnChittle When I was a child
2022-12-23 20:58:28+00:00,@ianbremmer That I’ve never been there
2022-12-23 20:58:16+00:00,@tristawinnie Throw them in a giant box
2022-12-23 20:57:49+00:00,@CamAlexander91 Unclear
2022-12-23 20:57:41+00:00,@idaveprice Sure! This is me BTW
2022-12-23 20:57:16+00:00,@MushroomsOnMarz That’s the FCC’s job and they are working this
2022-12-23 20:56:56+00:00,@SwombardiChron They are
2022-12-23 20:56:46+00:00,@kirsten_1982 It is a LOT
2022-12-23 20:56:30+00:00,@lmf_tvtimes There is a lot of justified frustration about over tourism and people generally not behaving like guests - posting so called secret spots on IG and just behaving like it’s their playground. But if you are polite and respectful and don’t go where you aren’t invited it’s fine.
2022-12-23 20:54:37+00:00,@iansandlerbowen It’s not actually too large.
2022-12-23 20:54:23+00:00,@Mikeyeddy Climate
2022-12-23 20:54:12+00:00,@EddiePlaut We are monitoring closely. That is all I can say now. Unclear how they rule.
2022-12-23 20:53:40+00:00,@ddiamond I mean sure
2022-12-23 20:53:27+00:00,@rebekahjolson @nycsouthpaw That’s not accurate .
2022-12-23 20:53:15+00:00,@ScotchCam I eat what they give me or if i really am thinking ahead I pack a bahn Mi
2022-12-23 20:52:34+00:00,@argeereyes My understanding is that it’s happening in state govt
2022-12-23 20:52:07+00:00,@k_bombed Book
2022-12-23 20:47:22+00:00,@dajpearl IT IS IN THE OMNI AS THE BRAND NEW YES IN MY BACKYARD - YIMBY ACT
2022-12-23 20:46:35+00:00,@cmcalgary Yeah there’s a lake on Kauai and at least one on Oahu.
2022-12-23 20:44:48+00:00,@KMR31871 No but it is permissible but no coffee and yes I know how ridiculous that is
2022-12-23 20:44:23+00:00,@malekkarim2 💯
2022-12-23 20:44:12+00:00,"@ChrisByBike I can get money for infrastructure and housing, and I do that, but we also need to make it easier to actually build housing."
2022-12-23 20:43:30+00:00,@akornblatt Never ever give up. We just took the biggest action ever and now we have to get the permitting system to not be the bottleneck
2022-12-23 20:42:47+00:00,@ThePolitiKat It’s this one.
2022-12-23 20:42:22+00:00,@aliemalie John F and also I’ve heard good things about Katie Britt.
2022-12-23 20:41:42+00:00,@_DanMangan Makapuu I separated my shoulder at Sandys a few years back.
2022-12-23 20:40:56+00:00,@ppavnr I wouldn’t say I’m overconfident but we have to do it.
2022-12-23 20:36:03+00:00,@ParkerMolloy I don’t know. I support it and want this to pass.
2022-12-23 20:32:50+00:00,@phenomevo Every single day multiple times a day yes.
2022-12-23 20:32:09+00:00,@CoreyBCantor @CoryBooker @SenatorTester I think Tester because he is more mean
2022-12-23 20:31:42+00:00,@ShauryaPandya Travel
2022-12-23 20:31:30+00:00,@BruneElections I sleep and sometimes I tweet!
2022-12-23 20:31:17+00:00,@danwinesalot I’ve flown around 3 million miles in ten years.
