Datetime,Text
2023-01-02 04:07:43+00:00,"New Year’s Day in Seward overlooking the harbor. Beautiful but icy (note the parking lot and ice cleats on my Xtratufs) 
Further down the highway it’s waterfalls of ice that get your attention. https://t.co/VRiTUKr5XS"
2022-12-31 19:42:44+00:00,Happy #NewYear!
2022-12-31 19:42:44+00:00,"I championed provisions to strengthen Alaska’s economy, accelerate workforce development, &amp; support military members and their families. This includes the nearly $500 million in Congressionally Directed Spending I secured to benefit over 130 community-driven projects in Alaska."
2022-12-31 19:42:43+00:00,"December: As senior Appropriator, I helped write major parts of the FY23 omnibus bill, and secured significant funding and assistance for Alaska throughout it. https://t.co/M3IHYLRl3U"
2022-12-31 19:42:42+00:00,"December: Congressman Don Young’s legacy will live on in many ways, and thanks to the Don Young Recognition Act, the most active volcano in the Aleutian Islands named after him—a fitting representation of the always-active, sometimes unpredictable Congressman for all of Alaska. https://t.co/6IYJRHlpxO"
2022-12-31 19:42:40+00:00,"November: I have long supported marriage equality and believe all lawful marriages deserve respect. I was proud to vote for the bipartisan Respect for Marriage Act as all Americans deserve dignity, respect, and equal protection under the law. https://t.co/kAnAyiQYW7"
2022-12-31 19:42:39+00:00,"October: It was great to be in Anchorage with so many Alaskans at the @NativeFed Convention. From increased broadband, water and wastewater investments, to improved climate resilience and storm recovery—I was proud to share the work we’ve done to support Alaska Native communities https://t.co/w0HPSYNADR"
2022-12-31 19:42:38+00:00,"September: @SenatorDanSullivan, @Rep_Peltola @GovDunleavy, &amp; I were united in advocating for Alaska to have as much immediate support as possible and our efforts paid off—welcoming announcements that @potus issued a major disaster declaration to support Western Alaska’s recovery. https://t.co/yhC1rs4OxR"
2022-12-31 19:42:36+00:00,"September: This fall, Typhoon Merbok produced widespread damage to communities in Western Alaska. I headed to impacted communities – Elim, Nome and Golovin, and was joined by Representative Peltola in a visit to Hooper Bay and Chevak – to see firsthand the extent of the damage. https://t.co/418J1A8vSE"
2022-12-31 19:42:34+00:00,"August: During a visit to Air Station Sitka, @ComdtUSCG of the @USCG, recognized me as an honorary Chief Petty Officer of the USCG, a title given only to individuals who demonstrate the highest commitment to the Coast Guard's core values. https://t.co/V5pAoe9IjD"
2022-12-31 19:42:33+00:00,"July: The Federal Transit Administration made $300 million available for ferries. The funding, made possible by the bipartisan infrastructure law, will support rural ferry systems and build out electric ferries in Alaska. https://t.co/bUu0KHMNxE"
2022-12-31 19:42:32+00:00,June: @SenDanSullivan and I attended the U.S. Army Alaska’s re-designation as the 11th Airborne Division at Fort Wainwright in Fairbanks and Joint Base Elmendorf-Richardson (JBER) in Anchorage. https://t.co/uBzYsoQqCb
2022-12-31 19:42:30+00:00,"May: I had the privilege of joining the Memorial Day ceremony at Byers Lake, an honored tradition I’ve taken part of for the past two decades, put on by Veteran Motorcycle Clubs across Alaska. It’s so important to give our veterans the respect and honor they deserve. https://t.co/kJQdJ4fHvp"
2022-12-31 19:42:29+00:00,"April: In April, I hosted over 1,100 Alaskan leaders for an Infrastructure Grant Symposium, to share opportunities for their communities that exist within the transformational bipartisan infrastructure law. https://t.co/cYzcMrnU4Q"
2022-12-31 19:42:28+00:00,March: The FY22 Omnibus package included $230 million I secured for over 65 Alaska projects—and provided significant support for public safety efforts with the reauthorization of the bipartisan Violence Against Women Act (VAWA) I helped lead. https://t.co/YDZk8Xnn4m
2022-12-31 19:42:26+00:00,February: I joined @Sen_JoeManchin on CNN’s State of the Union—hosted by Jake Tapper—where we discussed the importance of bipartisanship and putting Alaskans and Americans first. https://t.co/nEsoUWU1Kv
2022-12-31 19:42:25+00:00,"January: Projects across Alaska—including $250 million for the Port of Nome, $185 million for the Lowell Creed flood diversion project, and $25 million to fix the Denali Park Road—received significant funding thanks to the bipartisan infrastructure law. https://t.co/1RyA4z21KI"
2022-12-31 19:42:22+00:00,Happy New Year Alaska! Here’s a quick look back at some noteworthy moments over the past year ⬇️🧵
2022-12-29 23:01:55+00:00,These U.S. Army 2022 #YearinPhotos featuring Alaska’s glowing northern lights and U.S. Veteran Wayne Porter were incredibly moving. Thank you to the @USArmy for sharing.
2022-12-29 03:21:07+00:00,"The cost to heat homes in Alaska remains among the highest in the nation. I’ve dedicated my time in the Senate to creating lasting solutions for Alaskans. From investing in energy efficiency to supporting the LIHEAP program, the FY23 omnibus is helping lower energy costs. https://t.co/r2LVwHHRpY"
2022-12-28 01:07:49+00:00,"Across the state, workforce development is one of the most important issues in each community. The FY23 omnibus package includes funding for programs that create opportunities for Alaskans to fill critical jobs and strengthen our workforce. https://t.co/uF1YkC9DIN"
2022-12-27 01:04:33+00:00,"Alaska’s fisheries and oceans are at the core of our history, identities, and economies. In the FY23 omnibus I’m proud to have secured many wins for Alaska’s coastal communities and food producers. https://t.co/8CNdRn4JHb"
2022-12-25 15:13:19+00:00,"From my family, to yours: Merry Christmas, Happy Holidays, and a Happy, Happy New Year, Alaska! https://t.co/yBk8aQXIFM"
2022-12-25 03:03:35+00:00,Merry Christmas Eve from beautiful and snowy Girdwood 🎄❄️ https://t.co/mvXdCGEZGR
2022-12-25 00:21:58+00:00,I’m wishing all Alaskans a Merry Christmas and Happy Holidays. https://t.co/IiQaGeUwjz
2022-12-25 00:21:45+00:00,Thanks to all the Alaskans who shared their own #AlaskaChristmasTree with me. Each and every one of your trees are so special 🎄 https://t.co/GegR6Ev2wq
