Datetime,Text
2022-12-22 14:59:01+00:00,"“My soul proclaims the greatness of the Lord;my spirit rejoices in God my savior.For he has looked upon his handmaid’s lowliness;
behold, from now on will all ages call me blessed.The Mighty One has done great things for me,and holy is his name.”

Luke 1:46-48"
2022-12-21 16:09:51+00:00,"“Most blessed are you among women, and blessed is the fruit of your womb”

Luke 1:42"
2022-12-21 01:00:53+00:00,"Remember when Democrats &amp; media denied the federal government was sending crack pipes to addicts &amp; called my efforts to prohibit it a “stunt”?

Well Guess what…the exact same provision they once fought so hard to block is now included in the end of year government funding bill https://t.co/TxDU5tIxZH"
2022-12-20 17:31:56+00:00,"“Do not be afraid, Mary,for you have found favor with God. Behold,you will conceive in your womb &amp; bear a son,&amp; you shall name him Jesus.”

Luke 1:30-31"
2022-12-16 13:05:21+00:00,"Observe what is right, do what is just,for my salvation is about to come,my justice, about to be revealed.

Isaiah 56:1"
2022-12-15 13:34:48+00:00,"We need to #BanTikTok because @tiktok_us is controlled by a foreign government in #China that collects the private data on over 50 million American mobile devices every day &amp; is using it to track,influence,manipulate &amp; divide our country #BanTikTok https://t.co/ROv34792o9"
2022-12-15 12:59:15+00:00,"As I swore then that the waters of Noah should never again flood the earth,So I have sworn now not to be angry with you,or to rebuke you.Though the mountains fall away &amp; the hills be shaken,My love shall never fall away from you nor my covenant of peace be shaken

Isaiah 54:9-10"
2022-12-14 21:50:20+00:00,"Yes American social media companies also collect data on Americans and that should be addressed 

But @tiktok_us is another level of danger

They don’t just collect data for their own use,they are controlled by &amp; directly give our data to a foreign government in #China"
2022-12-14 13:32:34+00:00,Why isn’t the ⁦@nytimes⁩ ⁦@washingtonpost⁩ ⁦@CNN⁩ obsessed with ⁦@tiktok_us⁩ meddling in our 2022 elections?  https://t.co/rDFrFNrO4z
2022-12-14 13:07:39+00:00,"This isn’t a GOP-led #TikTok ban “craze”

It’s an over 3 year effort that has always been bipartisan 
 
But @CNN’s obsession with bashing Republicans is so ingrained in their culture their “journalists” reflexively defend anyone we are against,even the Communist Party of #China"
2022-12-14 12:50:05+00:00,"The Communist government of #China can access the private data of any American using @tiktok_us any time they want 

Tik Tok should be banned

https://t.co/POhFZtiXRK"
2022-12-14 12:38:24+00:00,"I am the LORD, there is no other,there is no God besides me.
It is I who arm you, though you do not know me,so that all may know, from the rising of the sun to its setting,that there is none besides me. I am the LORD, there is no other.

Isaiah 45:5-6"
2022-12-13 15:29:07+00:00,"Rebellious &amp; polluted,the tyrannical city! 

It listens to no voice,accepts no correction;In the LORD it has not trusted,nor drawn near to its God.Its officials within it are roaring lions;Its judges are desert wolves that have no bones to gnaw by morning 

Zephaniah 3:1-3"
2022-12-13 15:23:55+00:00,"Our border is where drugs &amp; illegal immigration from all over the world enter America &amp; good paying jobs leave 
 
https://t.co/BWfQKqZKiN"
2022-12-09 13:36:29+00:00,"The defense bill we will pass next week will include my measure to prevent Homestead Air Reserve Base from being turned into a cargo air hub that would threaten efforts to protect &amp; restore sensitive marshlands and coastal Biscayne Bay

https://t.co/fVjJdG6MwO"
2022-12-09 13:30:18+00:00,"Israel, hope in the LORD, now and forever.

Psalms 131:3"
2022-12-08 13:08:15+00:00,"…cursed are you among all the animals,tame or wild;On your belly you shall crawl,&amp; dust you shall eat all the days of your life.I will put enmity between you &amp; the woman &amp; between your offspring &amp; hers;They will strike at your head,while you strike at their heel.
Genesis 3:14-15"
2022-12-07 14:00:39+00:00,"Why are we still allowing @tiktok_us to operate in America when we know for a fact that the Communist Party of #China openly uses it to steal the data on our phones, interfere in our elections &amp; push their propaganda https://t.co/lTGZjb8zlz"
2022-12-07 13:55:30+00:00,"We have a historically unpopular Dem President,record inflation,a violent crime wave &amp; total chaos at the border &amp; not only did we fail to win a majority, we lost a seat

And the Senate GOP response is going to be to make no changes?"
2022-12-07 12:50:21+00:00,"LORD, God of hosts, who is like you? Mighty LORD, your faithfulness surrounds you. You rule the raging sea; you still its swelling waves.

Psalms 89:9-10"
2022-12-06 15:31:42+00:00,"A voice proclaims: In the wilderness prepare the way of the LORD!
Make straight in the wasteland a highway for our God!

Isaiah 40:3"
2022-12-02 15:25:30+00:00,"Biden &amp; union bosses cut a deal that alienated rail workers by ignoring their core concern, paid sick days. The current collective bargaining system is out-of-date &amp; out-of-touch."
