Datetime,Text
2023-01-01 23:38:25+00:00,"My ohana is welcoming 2023 with homemade Ozoni—mochi soup—and Osechi—a variety of colorful foods symbolizing good fortune.
 
In Japanese culture, Ozoni and Osechi are traditional New Year’s day cuisines to invite happiness, health, &amp; success for the year to come.

Happy New Year! https://t.co/SIQA0DfnG3"
2022-12-31 19:02:12+00:00,"The Democratic agenda puts people first.

This year we passed legislation to lower drug and energy costs, create thousands of good-paying jobs, expand health care for veterans exposed to toxic chemicals, protect LGBTQ+ and interracial marriages, and strengthen gun safety laws."
2022-12-30 18:53:05+00:00,"Mitch McConnell and Lindsey Graham shouldn’t get a say in what you do with your body. 

No politician should. Period."
2022-12-29 17:46:26+00:00,"Under Democratic leadership, Congress passed legislation this year to

✔️ lower drug &amp; energy costs
✔️ expand veterans' health care
✔️ protect LGBTQ+ &amp; interracial marriages
✔️ tackle climate change
✔️ invest in US manufacturing
✔️ create hundreds of thousands of good-paying jobs"
2022-12-28 18:17:59+00:00,"This legislation allows Native Hawaiian Organizations access to the support and resources they need to serve Native Hawaiian survivors and work towards eradicating sexual and gender-violence in our state.

You can read more about my bill here ⬇️
https://t.co/PRqrLtY8wx"
2022-12-28 18:17:58+00:00,".@POTUS signed into law my legislation to allow Native Hawaiian survivors of sexual violence to access critical support through the Violence Against Women Act.

Like other Native communities, Native Hawaiians experience disproportionately high levels of sexual violence."
2022-12-27 18:41:06+00:00,"Thanks to the Inflation Reduction Act, seniors with Medicare won’t pay over $35 a month for their life-saving insulin medication starting next year.

Democrats got this done and the next step is working to cap the cost of insulin at $35 a month for everyone who needs it."
2022-12-26 19:22:01+00:00,"To learn more about eligibility and services provided under the PACT Act or to apply for PACT Act-related benefits, please visit this website.
https://t.co/WmZUYKjQt6"
2022-12-26 19:22:00+00:00,"Several months ago, Congress passed the PACT Act to expand VA health care eligibility for veterans exposed to burn pits, Agent Orange, and other toxic chemicals in the line of duty.

If you’re a veteran or survivor, you can file a claim now to apply for PACT Act-related benefits."
2022-12-25 16:48:23+00:00,"Merry Christmas! ⛄️ 🎄
 
Leighton and I wish a safe and festive holiday to everyone celebrating. https://t.co/TVxxMZsTON"
2022-12-24 15:58:55+00:00,"Combating the Missing and Murdered Indigenous People crisis in Hawaii starts with fully understanding the gender-based violence that Native Hawaiian women and girls face.

You can read the full ""Holoi a Nalo Wahine Oiwi"" report here: https://t.co/MhfrYYFRIG"
2022-12-24 15:58:54+00:00,"According to a new report recently published by the Missing and Murdered Native Hawaiian Women and Girls Task Force:

▫️ Over 1/4 of missing girls in Hawaii are Native Hawaiian

▫️ Nearly half of all sex trafficking cases are Native Hawaiian girls trafficked in Waikiki, Oahu"
2022-12-23 19:41:55+00:00,"I secured nearly $450 million in federal funding for projects across Hawaii to protect our environment, support community health organizations, expand access to affordable housing, and much more.
 
I look forward to seeing these funds put to good use for the people of Hawaii. https://t.co/Oi8X1dxBrs"
2022-12-23 16:15:12+00:00,"NDAs shouldn't be used to silence survivors of sexual assault or harassment. The Speak Out Act limits the enforceability of pre-dispute NDAs and enables states to enact additional protections for survivors.
 
Proud this bill was signed into law this year.
https://t.co/pGyJEVE4cp"
2022-12-22 21:01:07+00:00,"My bill to study the possibility of designating Kaena Point as a National Heritage Area is on its way to be signed into law.
 
Designating Kaena Point as a National Heritage Area would help preserve this precious ecosystem and ensure it can be appreciated for generations to come. https://t.co/z620oJiofW"
2022-12-22 16:27:58+00:00,"The Violence Against Women Act provides funding to support Native survivors of sexual violence, but Native Hawaiians have been excluded from accessing this aid.

I've been working to amend VAWA so Native Hawaiian survivors can benefit from that aid, and this year I got it done."
2022-12-22 16:27:57+00:00,"In Hawaii, the average profile of a missing child is a 15-year old Native Hawaiian girl from Oahu.
 
Indigenous women and girls experience disproportionately high levels of sexual violence. We need to step up and do more to protect Native women.
https://t.co/GaN3Pxz0Lk"
2022-12-22 02:07:43+00:00,"It was an honor to hear from President Zelenskyy—a true profile in courage.
 
The American people stand with him and all Ukrainians in their fight for freedom, democracy, and peace. https://t.co/p9RHPP4g6V"
2022-12-22 00:14:57+00:00,"President Zelenksyy has shown incredible courage and leadership in the face of Russia’s unjust and unprovoked invasion.
 
Now is the time to reaffirm our commitment to Ukraine. I hope tonight’s address underscores the importance of U.S. support to Ukraine for my GOP colleagues."
2022-12-21 20:55:43+00:00,"For months, Kaiser @NUHW mental health workers in Hawaii have been on strike. These workers deserve a fair wage, and their patients deserve dependable, quality care.
 
Today, I led my Senate colleagues in urging @aboutKP to come to a good faith agreement with these employees. https://t.co/Qxq9zgiPAR"
2022-12-21 14:59:30+00:00,"My bill with @Kilili_Sablan to create a @DeptVetAffairs Advisory Committee for veterans in Outlying Areas &amp; Freely Associated States passed Congress and is on its way to be signed into law.

I'm glad these veterans will have representation in the VA to advocate for their needs."
2022-12-20 23:49:56+00:00,"It’s important that our keiki learn about all of the communities that comprise our unique state.

That's why I'm particularly grateful for the students leading the Filipino Curriculum Project, who are developing a curriculum to celebrate and teach Filipino history in our schools."
2022-12-20 23:49:55+00:00,"Today, Hawaii celebrates Sakada Day, the anniversary of the ""First Fifteen"" Filipino plantation workers arriving in Honolulu 116 years ago.

As the largest minority population in Hawaii, the Filipino community has greatly contributed to our state's history, economy, and culture."
2022-12-20 17:10:17+00:00,"It's been an honor to serve in the Senate with my friend, @SenatorLeahy.
 
Patrick, your contributions to our country have been immeasurable over your nearly five decades as a U.S. Senator. Wishing you and Marcelle all the best as you embark on this next chapter. Aloha. https://t.co/TeyLF6ajtK"
2022-12-20 14:16:38+00:00,"Donald Trump incited a deadly insurrection because he knew he lost the 2020 Election.
 
@January6thCmte presented clear evidence that Trump committed criminal offenses to block the peaceful transfer of power.

It’s up to DOJ to make sure his crimes don’t go unanswered."
2022-12-20 01:25:29+00:00,"Along with my colleagues in the Hawaii Congressional Delegation, I'm calling for an @USGAO investigation into the DOD's response to PFAS contamination events at Red Hill.

The people of Hawaii deserve answers about these incidents &amp; what the DOD is doing to prevent future spills."
2022-12-17 17:16:23+00:00,"Before the Inflation Reduction Act, seniors with Medicare were the only population for whom vaccines weren't already free.
 
Isn't that ridiculous?
 
I fixed that by securing provisions in the IRA to ensure seniors with Medicare have access to free vaccines. Proud we got it done."
2022-12-16 21:32:27+00:00,"Millions of people across the nation don’t have access to the reproductive health care they need.
 
I'll continue fighting to defend abortion services until every person in this country has access to the fundamental health care they deserve."
2022-12-16 15:11:30+00:00,"As one of the largest expansions of VA benefits in history, the PACT Act extends VA health care enrollment eligibility to Vietnam-era, Gulf War-era and Post-9/11 veterans.

Help me get the word out so veterans can access the care they earned and deserve.
https://t.co/PSDoiV7mAT"
2022-12-16 00:48:17+00:00,"In addition to closing Red Hill, this bill contains nearly $800 million I fought to secure to safeguard and modernize critical military infrastructure in Hawaii and across the region.

Glad to see this legislation is on its way to the President's desk to be signed into law."
2022-12-16 00:48:17+00:00,"The Senate just passed the National Defense Authorization Act, which includes $1 billion I secured to close Red Hill.

As a member of @SASCDems, my priority in NDAA has been to safely and quickly close Red Hill, and I'm proud I successfully secured this funding for that purpose."
2022-12-15 17:32:51+00:00,More information about @PAOOffice1's PACT Act event can be found here: https://t.co/VVTzrxWH5F
2022-12-15 17:32:50+00:00,"This Saturday, Dec. 17, VA Pacific Islands Health Care is hosting a veterans health event at Keehi Lagoon Memorial from 7:30am – 1:00pm HST.

Veterans will have access to health screenings, vaccines, blood pressure checks, and assistance with registering for PACT Act benefits."
2022-12-15 00:18:04+00:00,"Now, Native Hawaiian survivors will actually be able to access the support they need and deserve, and Native Hawaiian organizations will be able to do even more in the fight to end sexual violence."
2022-12-15 00:18:03+00:00,"I’ve been focused on making the necessary changes for years to ensure that Native Hawaiian organizations can finally serve the Native Hawaiian community, and today we got it done.
 
Thank you to @SenBrianSchatz and @IndianCommittee for their hard work in helping make this happen."
2022-12-15 00:18:03+00:00,"For decades, Congress has provided funding to support survivors of gender-based violence through the Violence Against Women Act, including Native women who experience high levels of sexual violence.
 
However, Native Hawaiians have been excluded from accessing these resources."
2022-12-15 00:18:02+00:00,That feeling when Congress passes your bill to amend #VAWA so Native Hawaiian survivors have access to much-needed resources and it heads to the President’s desk to be signed into law. https://t.co/7aS7Wbj3mO
2022-12-14 19:38:37+00:00,"Our nation changed forever when 26 lives were stolen at Sandy Hook Elementary.

From active shooter drills to backpack bans, children live in fear they won't make it home from school.

It's been 10 years since that tragic day, our keiki deserve stronger gun safety laws now."
2022-12-14 00:13:00+00:00,".@SenatorCollins and I in our red and blue gloves to watch the President sign the Respect for Marriage Act into law. 

Democrat or Republican—love is love. 

Proud Congress came together to protect same-sex and interracial marriages under federal law. https://t.co/jQcVJmtXD0"
2022-12-13 22:43:51+00:00,"A beautiful day to witness and celebrate @POTUS signing the Respect for Marriage Act into law! 🏳️‍🌈

A special shout-out to my friend @SenatorBaldwin and all of the advocates who worked so hard to make this happen. https://t.co/UXxNrUAZNV"
2022-12-12 16:44:19+00:00,"With climate change and pollution threatening coral reefs, it’s critical we invest in innovative solutions to protect and revive these vital marine ecosystems.

I'm glad the House passed my bill to help protect Hawaii's coral reefs &amp; I look forward to voting for it in the Senate."
