Datetime,Text
2022-12-26 06:11:41+00:00,🕯️🕯️🕯️🕯️🕯️🕯️🕯️🕯
2022-12-25 02:25:32+00:00,🔘🕯️🕯️🕯️🕯️🕯️🕯️🕯
2022-12-23 04:40:20+00:00,🔘🔘🔘🕯️🕯️🕯️🕯️🕯
2022-12-22 04:14:38+00:00,🔘🔘🔘🔘🕯️🕯️🕯️🕯
2022-12-21 01:29:14+00:00,🔘🔘🔘🔘🔘🕯️🕯️🕯
2022-12-20 22:32:48+00:00,NEWS TODAY: My bill with @ChuckGrassley to prevent and treat opioid addiction has been signed into law by @POTUS.
2022-12-20 13:46:05+00:00,BREAKING: The Senate has passed my bipartisan bill to protect kids from online predators and sexual exploitation.
2022-12-20 03:35:19+00:00,🔘🔘🔘🔘🔘🔘🕯️🕯
2022-12-19 00:01:11+00:00,🔘🔘🔘🔘🔘🔘🔘🕯
2022-12-14 23:46:32+00:00,"BREAKING: The House just passed my Prison Camera Reform Act to fight crime, corruption, and abuse in American prisons.

This bipartisan bill is on its way to the President’s desk to become law."
2022-12-12 21:40:37+00:00,At tomorrow’s 9:30am hearing I will present the findings from PSI’s 8-month bipartisan investigation into sexual abuse of women in federal prisons. https://t.co/wls8SxkTmv
2022-12-10 00:02:38+00:00,Thank you Jeffersonville for welcoming me to announce high-speed internet upgrades coming to Georgia.⚡️ https://t.co/yBQSDMBnpC
2022-12-09 14:59:16+00:00,NEWS: The U.S. House has passed my bipartisan bill to help veterans timely access their military service records.
2022-12-07 13:09:17+00:00,https://t.co/abIKXC2VCo
2022-12-07 03:44:22+00:00,https://t.co/YAAmtrYc9J
2022-12-07 03:34:41+00:00,Warnock wins! https://t.co/FvuwijoxIj
2022-12-07 00:10:12+00:00,"If you are in line to vote, STAY IN LINE! 🗳️ 🇺🇸"
2022-12-06 17:37:41+00:00,"Thank you Athens for hosting us this weekend! 

VOTE WARNOCK TODAY! https://t.co/m20bSIaSAi"
2022-12-06 15:41:32+00:00,Phone bank for Warnock with me at Noon! https://t.co/TMpQGvaAxu
2022-12-06 14:59:42+00:00,"🇺🇸 🗳️ VOTE WARNOCK, VOTE TODAY!

https://t.co/WtfDxoBw1Q"
2022-12-05 03:08:29+00:00,"Post-rally WaHo: scattered, smothered, and peppered. https://t.co/mF3IanojiY"
