Datetime,Text
2022-12-29 20:19:20+00:00,"This is the beginning of the federal investment in the Brent Spence Corridor Project, and I’m proud that the bipartisan infrastructure law continues to pay dividends for Ohio and the greater Cincinnati region."
2022-12-29 20:19:20+00:00,This historic legislation has paved a way for a solution to complete the Brent Spence Bridge Corridor Project in and will address the worst traffic bottleneck in the country. Today’s announcement is great news for Cincinnati and the Buckeye State. https://t.co/AOuRlPMWtW
2022-12-29 20:19:18+00:00,"Today, @USDOT announced that it awarded #Ohio and Kentucky a total $1.635 billion in grant funding through the Bridge Investment Program and MEGA grant program, which were created by my bipartisan Infrastructure Investment and Jobs Act."
2022-12-25 13:55:36+00:00,"From our family to yours, Merry Christmas! https://t.co/BTLvY2ErJx"
2022-12-24 20:45:00+00:00,Jane and I would like to wish every across #Ohio- and across the country a happy and safe holiday season! #MerryChristmas
2022-12-24 16:27:31+00:00,I had the honor and privilege of meeting with President @ZelenskyyUa this week before his historic speech before a joint session of Congress. I reaffirmed the strong support of this Congress for #Ukraine. https://t.co/ZCbE8ZAq0F
2022-12-22 01:41:43+00:00,I thank President Zelenskyy for speaking to Congress tonight and making the case for America to continue to support his country. An investment in Ukraine is an investment in security of our allies around the globe. https://t.co/eoTh5tYTfS
2022-12-22 01:41:41+00:00,"Ukraine, powered by the bravery of its soldiers and the strength of American arms, has made remarkable progress stopping and rolling back Russia’s invasion. We must accelerate, not curtail, our support."
2022-12-22 01:41:40+00:00,President Zelenskyy’s address to Congress was an inspiring call to action for America. We must continue to provide more aid to Ukraine to ensure that it can defeat Russia’s aggression and win this war.
2022-12-20 22:43:42+00:00,Wrapped up my 326th and final weekly #Ohio press call today. These conversations have been an excellent opportunity to update Ohioans on the work we are doing in DC and I will certainly miss touching base with the #Ohio press corps each week. https://t.co/RIUpIyWL0K
2022-12-20 21:53:35+00:00,"This beautiful addition has taken nearly 8 years to complete. My bipartisan legislation, the World War II Memorial Prayer Act, was signed into law in 2014, and I am excited to see this prayer plaque finally become a reality. https://t.co/vEofuc8dDD"
2022-12-20 21:53:33+00:00,I was honored to join the Friends of the National @WWIIMemorial and @NationalMallNPS today to visit the near-complete D-Day Prayer Plaque at the Circle of Remembrance.
2022-12-19 22:27:36+00:00,I’m glad Chief Justice Roberts has temporarily blocked the end of Title 42 because our border agents have already lost control of the border and the admin must put policies in place to stop migrants from coming unlawfully before Title 42 is lifted.
2022-12-19 18:54:11+00:00,I was honored to join @DaytonHabitat today to continue construction of a new build for a local family. There is no better way to celebrate than giving back to the Buckeye State! https://t.co/vsbm9ejcUR
2022-12-19 18:54:06+00:00,Each year my favorite birthday gift is being able to volunteer on a Habitat for Humanity build in #Ohio.
2022-12-19 04:26:29+00:00,"Some of these priorities included legislation to further support Ukraine in its fight for freedom, counter North Korea’s repressive regime, improve the Lake Erie ecosystem in #Ohio, and support the Joint Systems Manufacturing Center in Lima, #Ohio."
2022-12-19 04:26:29+00:00,I am committed to keeping Ohioans safe and giving our men and women in uniform the resources they need to protect themselves. This year I fought to include a number of key priorities in the 2023 National Defense Authorization Act.
2022-12-19 00:46:10+00:00,"Jane and I want to wish our friends in the Jewish community in #Ohio and around the world a Happy Hanukkah! We also remember the miracles of this holiday, as we renew our commitment to our friends in #Israel, and to their security and safety. #HappyHanukkah https://t.co/2SG2pzcvGd"
2022-12-18 17:07:52+00:00,None of this would have been possible without my constituents in #Ohio for giving me the privilege of serving the Buckeye State.
2022-12-18 17:07:51+00:00,"We’ve seen significant bipartisan successes when we work together – the bipartisan infrastructure law, the CHIPS Act, cybersecurity reforms, helping sex trafficking survivors, the Respect for Marriage Act and much more."
2022-12-18 17:07:51+00:00,"It's been an honor to serve #Ohio in the Senate for the last 12 years. During my time here, 82 bills of my bills have been signed into law by President Trump, 68 under President Obama, and more than 40 so far under @POTUS."
2022-12-17 22:26:41+00:00,"I’ve strived to deliver bipartisan results through servant leadership and am proud of what our team, along with my colleagues on both sides of the aisle, have been able to accomplish together. https://t.co/RQDnE0OmDp"
2022-12-17 22:26:40+00:00,"Last week, I delivered my farewell speech on the Senate floor and reflected on my time in Washington, D.C. serving in the House of Representatives, Senate, and two Cabinet-level positions."
2022-12-17 18:57:27+00:00,I am looking forward to the president signing this important legislation into law in order to better support our men and women in uniform.
2022-12-17 18:57:26+00:00,I was pleased to have 12 of my initiatives included in the final 2023 National Defense Authorization Act. This historic funding is critical to strengthening our country’s national defense and supporting our troops all around the world.
2022-12-14 16:44:38+00:00,"Under the Obama-Biden administration, @DHSgov (with then-Deputy @SecMayorkas) increased detention space to deal with the 2014/2015 border crisis. Today’s border crisis is more than 3X worse, but the current administration is trying to cut detention spaces. This is bad policy."
2022-12-14 16:43:53+00:00,"Congress must fund increased detention space for single adults as Title 42 expires. Decreased detention space leads to poor policy decisions to release unlawful migrants, including those with criminal records,  which only empowers human smugglers and traffickers."
2022-12-12 21:45:52+00:00,"Our Border Patrol is being overrun with thousands crossing the border unlawfully. The Biden admin must end their failed policies and take action to stop unlawful migration.
https://t.co/Qq98NfiXgf"
