Datetime,Text
2023-01-02 23:44:37+00:00,"With the Inflation Reduction Act, we are lowering the cost of prescription drugs for seniors. https://t.co/1oOhkthMOi"
2022-12-31 18:18:31+00:00,"Happy New Year’s Eve! This time of year is one of my favorites—seeing the generosity of spirit that marks the holiday season abound, taking time to relax with loved ones, and kicking off a new year with a fresh start and smile. I wish you and yours peace and good health in 2023!"
2022-12-31 00:18:20+00:00,"Ask not what you can do for your country . . .
Strive mightily to chisel your country! https://t.co/YXFPgoga92"
2022-12-26 16:18:03+00:00,Happy Kwanzaa to all celebrating!
2022-12-25 13:36:58+00:00,"To those celebrating today, I wish you a very Merry Christmas.

""For unto us a child is born!"""
2022-12-24 18:33:53+00:00,Random year end self-care tip: Greg Wagland’s audiobook narrations of Sherlock Holmes stories are my favorite bedtime stories of the year. Super voice actor and a magnificent sleep aid! https://t.co/7pJGknQngL
2022-12-23 15:55:27+00:00,"On Jan 1, parts of the Inflation Reduction Act go into effect to lower the cost of insulin and other prescription drugs. There will be a $35 a month cap on insulin costs under Medicare. Some had been paying $900 a month. This is crucial to help seniors afford lifesaving medicine."
2022-12-22 19:27:48+00:00,"✔️Boost economic development
✔️Support specific local projects in Virginia we fought for—like affordable housing in Northern Virginia, job training in Richmond, the Coalfields Expressway in Southwest, tele-health in the Valley, increasing the Port’s capacity in Hampton Roads."
2022-12-22 19:27:47+00:00,"✔️Expand access to high-speed broadband
✔️Make higher education more affordable
✔️Reduce barriers to treatment for substance abuse
✔️Research Long COVID—based on my bill
✔️Train nurses, addressing shortages—based on a bill I cosponsored
✔️Support Ukraine"
2022-12-22 19:27:46+00:00,"The budget bill we just passed will:
✔️Help families access child care—a key part of my child care proposal
✔️Reauthorize a children’s mental health program—based on my bill
✔️Expand the number of mental health care options available for seniors—based on a bill I cosponsored"
2022-12-22 11:14:33+00:00,CONGRATULATIONS @JennMcClellanVA!!! Now all hands on deck to make sure Jenn wins the special election on February 21st.
